t,real-effective-exchange-rate-index-monthly,nominal-effective-exchange-rate-index-monthly,grosss-official-reserves-(iip-reserve-assets)-quarterly,total-value-of-financial-transactions-through-common-atm-switch-(cas)-monthly
1989-01-01 00:00:00,0.0,0.0,1674.6,631918970.0
1989-02-01 00:00:00,0.0,0.0,1674.6,631918970.0
1989-03-01 00:00:00,0.0,0.0,1674.6,631918970.0
1989-04-01 00:00:00,0.0,0.0,1674.6,631918970.0
1989-05-01 00:00:00,0.0,0.0,1674.6,631918970.0
1989-06-01 00:00:00,0.0,0.0,1674.6,631918970.0
1989-07-01 00:00:00,0.0,0.0,1674.6,631918970.0
1989-08-01 00:00:00,0.0,0.0,1674.6,631918970.0
1989-09-01 00:00:00,0.0,0.0,1674.6,631918970.0
1989-10-01 00:00:00,0.0,0.0,1674.6,631918970.0
1989-11-01 00:00:00,0.0,0.0,1674.6,631918970.0
1989-12-01 00:00:00,0.0,0.0,1674.6,631918970.0
1990-01-01 00:00:00,0.0,0.0,1674.6,631918970.0
1990-02-01 00:00:00,0.0,0.0,1674.6,631918970.0
1990-03-01 00:00:00,0.0,0.0,1674.6,631918970.0
1990-04-01 00:00:00,0.0,0.0,1674.6,631918970.0
1990-05-01 00:00:00,0.0,0.0,1674.6,631918970.0
1990-06-01 00:00:00,0.0,0.0,1674.6,631918970.0
1990-07-01 00:00:00,0.0,0.0,1674.6,631918970.0
1990-08-01 00:00:00,0.0,0.0,1674.6,631918970.0
1990-09-01 00:00:00,0.0,0.0,1674.6,631918970.0
1990-10-01 00:00:00,0.0,0.0,1674.6,631918970.0
1990-11-01 00:00:00,0.0,0.0,1674.6,631918970.0
1990-12-01 00:00:00,0.0,0.0,1674.6,631918970.0
1991-01-01 00:00:00,0.0,0.0,1674.6,631918970.0
1991-02-01 00:00:00,0.0,0.0,1674.6,631918970.0
1991-03-01 00:00:00,0.0,0.0,1674.6,631918970.0
1991-04-01 00:00:00,0.0,0.0,1674.6,631918970.0
1991-05-01 00:00:00,0.0,0.0,1674.6,631918970.0
1991-06-01 00:00:00,0.0,0.0,1674.6,631918970.0
1991-07-01 00:00:00,0.0,0.0,1674.6,631918970.0
1991-08-01 00:00:00,0.0,0.0,1674.6,631918970.0
1991-09-01 00:00:00,0.0,0.0,1674.6,631918970.0
