t,monthly-average-exchange-rates-monthly,month-end-a-exchange-rates-monthly,merchandise-exports-total-quarterly,total-volume-of-real-time-gross-settlement-(rtgs)-transactions-monthly,total-value-of-financial-transactions-through-common-atm-switch-(cas)-monthly,public-sector-wage-rate-index-(2012=100)(nominal)-monthly,merchandise-imports-total-quarterly,formal-private-sector-wage-rate-index(december-1978=100)(nominal)-monthly,informal-private-sector-wage-rate-index(2012=100)(nominal)-monthly
1986-01-01 00:00:00,27.5,54.2,288.8,16534.0,631918970.0,71.4,485.5,941.3,94.4
1986-02-01 00:00:00,27.6,54.2,288.8,16534.0,631918970.0,71.4,485.5,941.3,94.4
1986-03-01 00:00:00,27.6,54.2,288.8,16534.0,631918970.0,71.4,485.5,941.3,94.4
1986-04-01 00:00:00,27.8,54.2,288.8,16534.0,631918970.0,71.4,485.5,941.3,94.4
1986-05-01 00:00:00,27.9,54.2,288.8,16534.0,631918970.0,71.4,485.5,941.3,94.4
1986-06-01 00:00:00,27.9,54.2,260.3,16534.0,631918970.0,71.4,467.2,941.3,94.4
1986-07-01 00:00:00,28.0,54.2,260.3,16534.0,631918970.0,71.4,467.2,941.3,94.4
1986-08-01 00:00:00,28.2,54.2,260.3,16534.0,631918970.0,71.4,467.2,941.3,94.4
1986-09-01 00:00:00,28.3,54.2,329.0,16534.0,631918970.0,71.4,474.2,941.3,94.4
1986-10-01 00:00:00,28.4,54.2,329.0,16534.0,631918970.0,71.4,474.2,941.3,94.4
1986-11-01 00:00:00,28.5,54.2,329.0,16534.0,631918970.0,71.4,474.2,941.3,94.4
1986-12-01 00:00:00,28.5,54.2,331.6,16534.0,631918970.0,71.4,546.3,941.3,94.4
1987-01-01 00:00:00,28.6,54.2,331.6,16534.0,631918970.0,71.4,546.3,941.3,94.4
1987-02-01 00:00:00,28.6,54.2,331.6,16534.0,631918970.0,71.4,546.3,941.3,94.4
1987-03-01 00:00:00,28.8,54.2,278.7,16534.0,631918970.0,71.4,484.3,941.3,94.4
1987-04-01 00:00:00,28.9,54.2,278.7,16534.0,631918970.0,71.4,484.3,941.3,94.4
