t,electricity-power-generation-monthly,public-sector-wage-rate-index-(2012=100)(nominal)-monthly,electricity-power-consumption-monthly,electricity-per-capita-electricity-consumption-monthly,port-services-cargo-handled-monthly,port-services-container-handled-monthly,petroleum-petrol-sales-monthly
1998-01-01 00:00:00,464.0,71.4,360.0,19.0,2342372.0,145842.0,16960.0
1998-02-01 00:00:00,423.0,71.4,369.0,20.0,2342372.0,145842.0,14920.0
1998-03-01 00:00:00,477.0,71.4,357.0,19.0,2342372.0,145842.0,17000.0
1998-04-01 00:00:00,445.0,71.4,364.0,19.0,2342372.0,145842.0,18007.0
1998-05-01 00:00:00,481.0,71.4,379.0,20.0,2342372.0,145842.0,17223.0
1998-06-01 00:00:00,2290.0,71.4,388.0,21.0,2342372.0,145842.0,17118.0
1998-07-01 00:00:00,481.0,71.4,363.0,19.0,2342372.0,145842.0,17002.0
1998-08-01 00:00:00,488.0,71.4,386.0,21.0,2342372.0,145842.0,16891.0
1998-09-01 00:00:00,486.0,71.4,389.0,21.0,2342372.0,145842.0,17135.0
1998-10-01 00:00:00,496.0,71.4,391.0,21.0,2342372.0,145842.0,17589.0
1998-11-01 00:00:00,479.0,71.4,412.0,22.0,2342372.0,145842.0,16264.0
1998-12-01 00:00:00,487.0,71.4,364.0,19.0,2342372.0,145842.0,18215.0
1999-01-01 00:00:00,487.0,71.4,385.0,20.0,2342372.0,145842.0,16796.0
1999-02-01 00:00:00,457.0,71.4,390.0,20.0,1954199.0,133770.0,16116.0
1999-03-01 00:00:00,520.0,71.4,375.0,20.0,2470096.0,151507.0,18158.0
1999-04-01 00:00:00,471.0,71.4,388.0,20.0,2216197.0,144818.0,18411.0
1999-05-01 00:00:00,517.0,71.4,397.0,21.0,2080370.0,133779.0,17878.0
1999-06-01 00:00:00,508.0,71.4,403.0,21.0,2393633.0,144256.0,17480.0
1999-07-01 00:00:00,534.0,71.4,397.0,21.0,2193406.0,144080.0,18816.0
1999-08-01 00:00:00,536.0,71.4,413.0,22.0,2288279.0,147788.0,17783.0
1999-09-01 00:00:00,532.0,71.4,423.0,22.0,2328608.0,138457.0,17933.0
1999-10-01 00:00:00,541.0,71.4,405.0,21.0,2193604.0,138523.0,17433.0
1999-11-01 00:00:00,536.0,71.4,421.0,22.0,2150798.0,135042.0,17592.0
1999-12-01 00:00:00,544.0,71.4,412.0,22.0,2383363.0,146527.0,18678.0
2000-01-01 00:00:00,553.0,71.4,423.0,22.0,2336206.0,140468.0,17781.0
2000-02-01 00:00:00,540.0,71.4,406.0,21.0,2153630.0,139927.0,17476.0
2000-03-01 00:00:00,596.0,71.4,424.0,22.0,2381035.0,143794.0,19133.0
2000-04-01 00:00:00,535.0,71.4,429.0,22.0,2286404.0,138358.0,19458.0
2000-05-01 00:00:00,585.0,71.4,433.0,23.0,2356873.0,147050.0,18987.0
2000-06-01 00:00:00,547.0,71.4,421.0,22.0,2328614.0,144703.0,18753.0
2000-07-01 00:00:00,571.0,71.4,427.0,22.0,2388352.0,157551.0,18478.0
2000-08-01 00:00:00,568.0,71.4,450.0,24.0,2307338.0,149295.0,18749.0
2000-09-01 00:00:00,562.0,71.4,451.0,24.0,2263915.0,139200.0,19008.0
2000-10-01 00:00:00,580.0,71.4,443.0,23.0,2374636.0,147933.0,18485.0
2000-11-01 00:00:00,585.0,71.4,474.0,25.0,2044078.0,141106.0,18236.0
2000-12-01 00:00:00,592.0,71.4,477.0,25.0,2313907.0,143470.0,19828.0
2001-01-01 00:00:00,597.0,71.4,463.0,25.0,2051241.0,139928.0,20411.0
2001-02-01 00:00:00,524.0,71.4,443.0,24.0,2106154.0,140091.0,18511.0
2001-03-01 00:00:00,602.0,71.4,429.0,23.0,2585769.0,163435.0,21676.0
2001-04-01 00:00:00,546.0,71.4,439.0,23.0,2307980.0,150003.0,21032.0
2001-05-01 00:00:00,599.0,71.4,445.0,24.0,2414938.0,145486.0,21486.0
2001-06-01 00:00:00,583.0,71.4,457.0,24.0,2487586.0,163350.0,21317.0
2001-07-01 00:00:00,532.0,71.4,425.0,23.0,2544125.0,169682.0,20866.0
2001-08-01 00:00:00,536.0,71.4,430.0,23.0,2221246.0,139058.0,21374.0
2001-09-01 00:00:00,454.0,71.4,406.0,22.0,2088779.0,122497.0,20099.0
2001-10-01 00:00:00,517.0,71.4,393.0,21.0,2182469.0,135792.0,21367.0
2001-11-01 00:00:00,571.0,71.4,469.0,25.0,2075693.0,127240.0,20557.0
2001-12-01 00:00:00,565.0,71.4,459.0,24.0,1953062.0,129943.0,20810.0
2002-01-01 00:00:00,552.0,71.4,450.0,24.0,2162331.0,130437.0,22873.0
2002-02-01 00:00:00,483.0,71.4,424.0,22.0,2043575.0,125203.0,20834.0
2002-03-01 00:00:00,524.0,71.4,373.0,20.0,2167478.0,142464.0,23988.0
2002-04-01 00:00:00,513.0,71.4,394.0,21.0,2254845.0,138857.0,24675.0
2002-05-01 00:00:00,618.0,71.4,455.0,24.0,2365374.0,141692.0,23567.0
2002-06-01 00:00:00,601.0,71.4,468.0,25.0,2316499.0,151014.0,23064.0
2002-07-01 00:00:00,616.0,71.4,477.0,25.0,2436706.0,161972.0,24333.0
2002-08-01 00:00:00,616.0,71.4,497.0,26.0,2618723.0,156484.0,24922.0
2002-09-01 00:00:00,607.0,71.4,494.0,26.0,2505625.0,155407.0,23798.0
2002-10-01 00:00:00,609.0,71.4,485.0,26.0,2474543.0,158342.0,24596.0
2002-11-01 00:00:00,576.0,71.4,494.0,26.0,2532008.0,149093.0,24167.0
2002-12-01 00:00:00,612.0,71.4,493.0,26.0,2458119.0,157606.0,25285.0
2003-01-01 00:00:00,616.0,71.4,492.0,26.0,2512395.0,154815.0,26397.0
2003-02-01 00:00:00,577.0,71.4,507.0,26.0,2479925.0,146738.0,23202.0
2003-03-01 00:00:00,645.0,71.4,495.0,26.0,2372854.0,166576.0,21897.0
2003-04-01 00:00:00,601.0,71.4,511.0,27.0,2396467.0,143725.0,27640.0
2003-05-01 00:00:00,637.0,71.4,498.0,26.0,2375773.0,152938.0,27697.0
2003-06-01 00:00:00,627.0,71.4,528.0,28.0,2412484.0,165800.0,38282.0
2003-07-01 00:00:00,655.0,71.4,506.0,26.0,2757738.0,185697.0,44605.0
2003-08-01 00:00:00,651.0,71.4,527.0,27.0,2971394.0,182068.0,34393.0
2003-09-01 00:00:00,640.0,71.4,534.0,28.0,2540901.0,172929.0,34867.0
2003-10-01 00:00:00,660.0,71.4,531.0,28.0,2509873.0,167676.0,36795.0
2003-11-01 00:00:00,638.0,71.4,535.0,28.0,2531014.0,153937.0,34596.0
2003-12-01 00:00:00,668.0,71.4,542.0,28.0,2631046.0,166437.0,32483.0
2004-01-01 00:00:00,675.0,71.4,561.0,29.0,2508193.0,162635.0,33282.0
2004-02-01 00:00:00,643.0,71.4,542.0,28.0,2463063.0,155398.0,29274.0
2004-03-01 00:00:00,706.0,71.4,531.0,27.0,3033623.0,189323.0,43164.0
2004-04-01 00:00:00,642.0,71.4,536.0,28.0,2575407.0,164847.0,33310.0
2004-05-01 00:00:00,693.0,71.4,538.0,28.0,2618638.0,173095.0,33479.0
2004-06-01 00:00:00,682.0,71.4,554.0,29.0,2794086.0,183768.0,33932.0
2004-07-01 00:00:00,695.0,71.4,565.0,29.0,3076116.0,202948.0,35555.0
2004-08-01 00:00:00,702.0,71.4,572.0,29.0,3089828.0,205817.0,33739.0
2004-09-01 00:00:00,668.0,71.4,576.0,30.0,2966013.0,198578.0,40039.0
2004-10-01 00:00:00,692.0,71.4,560.0,29.0,3159557.0,210585.0,32840.0
2004-11-01 00:00:00,674.0,71.4,574.0,30.0,2782041.0,186593.0,32863.0
2004-12-01 00:00:00,685.0,71.4,578.0,30.0,2892841.0,186938.0,35768.0
2005-01-01 00:00:00,693.0,71.4,561.0,29.0,2801927.0,191281.0,33915.0
2005-02-01 00:00:00,643.0,71.4,582.0,30.0,2719952.0,170406.0,32714.0
2005-03-01 00:00:00,744.0,71.4,576.0,29.0,3189852.0,202282.0,39103.0
2005-04-01 00:00:00,680.0,71.4,587.0,30.0,3152568.0,202078.0,38817.0
2005-05-01 00:00:00,746.0,71.4,610.0,31.0,2973269.0,202840.0,38363.0
2005-06-01 00:00:00,732.0,71.4,596.0,30.0,3252274.0,204838.0,55111.0
2005-07-01 00:00:00,745.0,71.4,602.0,31.0,2957033.0,217241.0,36526.0
2005-08-01 00:00:00,768.0,71.4,631.0,32.0,3273232.0,220732.0,38394.0
2005-09-01 00:00:00,748.0,71.4,633.0,32.0,3278743.0,207203.0,37006.0
2005-10-01 00:00:00,765.0,71.4,620.0,32.0,3411856.0,220327.0,37201.0
