t,month-end-a-exchange-rates-monthly,monthly-average-exchange-rates-monthly,total-volume-of-real-time-gross-settlement-(rtgs)-transactions-monthly,total-value-of-financial-transactions-through-common-atm-switch-(cas)-monthly,public-sector-wage-rate-index-(2012=100)(nominal)-monthly,formal-private-sector-wage-rate-index(december-1978=100)(nominal)-monthly
1986-01-01 00:00:00,323.92,27.5,57186.0,105714853300.0,178.5,8239.0
1986-02-01 00:00:00,323.92,27.6,57186.0,105714853300.0,178.5,8239.0
1986-03-01 00:00:00,323.92,27.6,57186.0,105714853300.0,178.5,8239.0
1986-04-01 00:00:00,323.92,27.8,57186.0,105714853300.0,178.5,8239.0
1986-05-01 00:00:00,323.92,27.9,57186.0,105714853300.0,178.5,8239.0
1986-06-01 00:00:00,323.92,27.9,57186.0,105714853300.0,178.5,8239.0
1986-07-01 00:00:00,323.92,28.0,57186.0,105714853300.0,178.5,8239.0
1986-08-01 00:00:00,323.92,28.2,57186.0,105714853300.0,178.5,8239.0
1986-09-01 00:00:00,323.92,28.3,57186.0,105714853300.0,178.5,8239.0
1986-10-01 00:00:00,323.92,28.4,57186.0,105714853300.0,178.5,8239.0
1986-11-01 00:00:00,323.92,28.5,57186.0,105714853300.0,178.5,8239.0
1986-12-01 00:00:00,323.92,28.5,57186.0,105714853300.0,178.5,8239.0
1987-01-01 00:00:00,323.92,28.6,57186.0,105714853300.0,178.5,8239.0
1987-02-01 00:00:00,323.92,28.6,57186.0,105714853300.0,178.5,8239.0
1987-03-01 00:00:00,323.92,28.8,57186.0,105714853300.0,178.5,8239.0
1987-04-01 00:00:00,323.92,28.9,57186.0,105714853300.0,178.5,8239.0
1987-05-01 00:00:00,323.92,29.0,57186.0,105714853300.0,178.5,8239.0
1987-06-01 00:00:00,323.92,29.2,57186.0,105714853300.0,178.5,8239.0
1987-07-01 00:00:00,323.92,29.4,57186.0,105714853300.0,178.5,8239.0
1987-08-01 00:00:00,323.92,29.6,57186.0,105714853300.0,178.5,8239.0
1987-09-01 00:00:00,323.92,29.9,57186.0,105714853300.0,178.5,8239.0
1987-10-01 00:00:00,323.92,30.3,57186.0,105714853300.0,178.5,8239.0
1987-11-01 00:00:00,323.92,30.5,57186.0,105714853300.0,178.5,8239.0
1987-12-01 00:00:00,323.92,30.6,57186.0,105714853300.0,178.5,8239.0
1988-01-01 00:00:00,323.92,30.8,57186.0,105714853300.0,178.5,8239.0
1988-02-01 00:00:00,323.92,30.8,57186.0,105714853300.0,178.5,8239.0
1988-03-01 00:00:00,323.92,30.9,57186.0,105714853300.0,178.5,8239.0
