t,total-tourist-arrivals-monthly,tourist-earnings-monthly,total-tourist-arrivals-quarterly
1972-01-01 00:00:00,5762.0,30.0,17174.0
1972-02-01 00:00:00,5848.0,30.0,17174.0
1972-03-01 00:00:00,5564.0,30.0,17174.0
1972-04-01 00:00:00,3091.0,30.0,17174.0
1972-05-01 00:00:00,3282.0,30.0,17174.0
1972-06-01 00:00:00,2302.0,30.0,8675.0
1972-07-01 00:00:00,3703.0,30.0,8675.0
1972-08-01 00:00:00,4634.0,30.0,8675.0
1972-09-01 00:00:00,3402.0,30.0,11739.0
1972-10-01 00:00:00,4476.0,30.0,11739.0
1972-11-01 00:00:00,6155.0,30.0,11739.0
1972-12-01 00:00:00,7828.0,30.0,18459.0
1973-01-01 00:00:00,9386.0,30.0,18459.0
1973-02-01 00:00:00,8343.0,30.0,18459.0
1973-03-01 00:00:00,7875.0,30.0,25604.0
1973-04-01 00:00:00,5468.0,30.0,25604.0
1973-05-01 00:00:00,4168.0,30.0,25604.0
1973-06-01 00:00:00,3246.0,30.0,12882.0
1973-07-01 00:00:00,5919.0,30.0,12882.0
1973-08-01 00:00:00,6680.0,30.0,12882.0
1973-09-01 00:00:00,4184.0,30.0,16783.0
1973-10-01 00:00:00,5977.0,30.0,16783.0
1973-11-01 00:00:00,7137.0,30.0,16783.0
1973-12-01 00:00:00,9505.0,30.0,22619.0
1974-01-01 00:00:00,10915.0,30.0,22619.0
1974-02-01 00:00:00,9648.0,30.0,22619.0
1974-03-01 00:00:00,9847.0,30.0,30410.0
1974-04-01 00:00:00,6400.0,30.0,30410.0
1974-05-01 00:00:00,3241.0,30.0,30410.0
1974-06-01 00:00:00,3303.0,30.0,12944.0
1974-07-01 00:00:00,5404.0,30.0,12944.0
1974-08-01 00:00:00,6147.0,30.0,12944.0
1974-09-01 00:00:00,4986.0,30.0,16537.0
1974-10-01 00:00:00,6199.0,30.0,16537.0
1974-11-01 00:00:00,8338.0,30.0,16537.0
1974-12-01 00:00:00,10583.0,30.0,25120.0
1975-01-01 00:00:00,11740.0,30.0,25120.0
1975-02-01 00:00:00,10388.0,30.0,25120.0
1975-03-01 00:00:00,11158.0,30.0,33286.0
1975-04-01 00:00:00,5890.0,30.0,33286.0
1975-05-01 00:00:00,5587.0,30.0,33286.0
1975-06-01 00:00:00,4787.0,30.0,16264.0
1975-07-01 00:00:00,5925.0,30.0,16264.0
1975-08-01 00:00:00,8565.0,30.0,16264.0
1975-09-01 00:00:00,5287.0,30.0,19777.0
1975-10-01 00:00:00,7622.0,30.0,19777.0
1975-11-01 00:00:00,11271.0,30.0,19777.0
1975-12-01 00:00:00,14984.0,30.0,33877.0
1976-01-01 00:00:00,15627.0,30.0,33877.0
1976-02-01 00:00:00,15214.0,30.0,33877.0
1976-03-01 00:00:00,13431.0,30.0,44272.0
1976-04-01 00:00:00,8886.0,30.0,44272.0
1976-05-01 00:00:00,6097.0,30.0,44272.0
1976-06-01 00:00:00,4550.0,30.0,19533.0
1976-07-01 00:00:00,4278.0,30.0,19533.0
1976-08-01 00:00:00,3481.0,30.0,19533.0
1976-09-01 00:00:00,6707.0,30.0,14466.0
1976-10-01 00:00:00,10636.0,30.0,14466.0
1976-11-01 00:00:00,13600.0,30.0,14466.0
1976-12-01 00:00:00,16464.0,30.0,40700.0
1977-01-01 00:00:00,17569.0,30.0,40700.0
1977-02-01 00:00:00,18064.0,30.0,40700.0
1977-03-01 00:00:00,18216.0,30.0,53849.0
1977-04-01 00:00:00,9891.0,30.0,53849.0
1977-05-01 00:00:00,7602.0,30.0,53849.0
1977-06-01 00:00:00,5536.0,30.0,23029.0
