t,port-services-vessels-arrived-monthly,transport-vehicle-registrations-monthly,public-road-transport-operated-average-busses-monthly
1998-01-01 00:00:00,414.0,7092.0,4236.0
1998-02-01 00:00:00,414.0,7200.0,4236.0
1998-03-01 00:00:00,414.0,8934.0,4236.0
1998-04-01 00:00:00,414.0,7348.0,4236.0
1998-05-01 00:00:00,414.0,7334.0,4236.0
1998-06-01 00:00:00,414.0,8375.0,4236.0
1998-07-01 00:00:00,414.0,9025.0,4236.0
1998-08-01 00:00:00,414.0,9085.0,4236.0
1998-09-01 00:00:00,414.0,10833.0,4236.0
1998-10-01 00:00:00,414.0,9757.0,4236.0
1998-11-01 00:00:00,414.0,7881.0,4236.0
1998-12-01 00:00:00,414.0,10896.0,4236.0
1999-01-01 00:00:00,377.0,7490.0,4390.0
1999-02-01 00:00:00,350.0,8312.0,4390.0
1999-03-01 00:00:00,406.0,9069.0,4390.0
1999-04-01 00:00:00,387.0,6515.0,4390.0
1999-05-01 00:00:00,349.0,9154.0,4390.0
1999-06-01 00:00:00,344.0,8795.0,4390.0
1999-07-01 00:00:00,345.0,9702.0,4390.0
1999-08-01 00:00:00,372.0,9827.0,4390.0
1999-09-01 00:00:00,361.0,9118.0,4390.0
1999-10-01 00:00:00,349.0,7793.0,4390.0
1999-11-01 00:00:00,349.0,7238.0,4390.0
1999-12-01 00:00:00,350.0,9840.0,4390.0
2000-01-01 00:00:00,362.0,7326.0,4390.0
2000-02-01 00:00:00,350.0,7668.0,4390.0
2000-03-01 00:00:00,373.0,8749.0,4390.0
2000-04-01 00:00:00,358.0,5862.0,4390.0
2000-05-01 00:00:00,363.0,7650.0,4390.0
2000-06-01 00:00:00,341.0,8520.0,4390.0
2000-07-01 00:00:00,354.0,8256.0,4390.0
2000-08-01 00:00:00,367.0,7143.0,4390.0
2000-09-01 00:00:00,341.0,11367.0,4390.0
2000-10-01 00:00:00,346.0,6224.0,4390.0
2000-11-01 00:00:00,337.0,7475.0,4390.0
2000-12-01 00:00:00,340.0,5707.0,4390.0
2001-01-01 00:00:00,350.0,8680.0,4390.0
2001-02-01 00:00:00,335.0,6963.0,4390.0
2001-03-01 00:00:00,380.0,7185.0,4390.0
2001-04-01 00:00:00,344.0,5389.0,4390.0
2001-05-01 00:00:00,352.0,6282.0,4390.0
2001-06-01 00:00:00,347.0,5776.0,4390.0
2001-07-01 00:00:00,359.0,5618.0,4390.0
2001-08-01 00:00:00,300.0,5925.0,4390.0
2001-09-01 00:00:00,284.0,4994.0,4390.0
2001-10-01 00:00:00,297.0,5444.0,4390.0
2001-11-01 00:00:00,269.0,6120.0,4390.0
2001-12-01 00:00:00,304.0,4258.0,4390.0
2002-01-01 00:00:00,311.0,6119.0,4390.0
2002-02-01 00:00:00,310.0,6488.0,4390.0
2002-03-01 00:00:00,351.0,6210.0,4390.0
2002-04-01 00:00:00,329.0,8149.0,4390.0
2002-05-01 00:00:00,353.0,8444.0,4390.0
2002-06-01 00:00:00,328.0,6959.0,4390.0
2002-07-01 00:00:00,343.0,11756.0,4390.0
2002-08-01 00:00:00,355.0,10834.0,4390.0
2002-09-01 00:00:00,338.0,11384.0,4390.0
2002-10-01 00:00:00,363.0,12528.0,4390.0
2002-11-01 00:00:00,343.0,11979.0,4390.0
2002-12-01 00:00:00,338.0,12501.0,4390.0
2003-01-01 00:00:00,352.0,15256.0,4390.0
2003-02-01 00:00:00,341.0,15078.0,4390.0
2003-03-01 00:00:00,358.0,16069.0,4390.0
2003-04-01 00:00:00,332.0,14657.0,4390.0
2003-05-01 00:00:00,333.0,14587.0,4390.0
2003-06-01 00:00:00,327.0,15749.0,4390.0
2003-07-01 00:00:00,326.0,16292.0,4390.0
2003-08-01 00:00:00,339.0,14012.0,4390.0
2003-09-01 00:00:00,319.0,14212.0,4390.0
2003-10-01 00:00:00,333.0,15046.0,4390.0
2003-11-01 00:00:00,326.0,14470.0,4390.0
2003-12-01 00:00:00,346.0,16074.0,4390.0
2004-01-01 00:00:00,331.0,17770.0,4390.0
2004-02-01 00:00:00,322.0,15018.0,4390.0
2004-03-01 00:00:00,364.0,20972.0,4390.0
2004-04-01 00:00:00,320.0,14429.0,4390.0
2004-05-01 00:00:00,323.0,18244.0,4390.0
2004-06-01 00:00:00,330.0,19280.0,4390.0
2004-07-01 00:00:00,316.0,19496.0,4390.0
2004-08-01 00:00:00,314.0,19827.0,4390.0
2004-09-01 00:00:00,306.0,20354.0,4390.0
2004-10-01 00:00:00,327.0,20127.0,4390.0
2004-11-01 00:00:00,318.0,19687.0,4390.0
2004-12-01 00:00:00,314.0,18638.0,4390.0
2005-01-01 00:00:00,328.0,13732.0,4390.0
2005-02-01 00:00:00,314.0,14920.0,4390.0
2005-03-01 00:00:00,350.0,19204.0,4390.0
2005-04-01 00:00:00,326.0,16577.0,4390.0
2005-05-01 00:00:00,328.0,19673.0,4390.0
2005-06-01 00:00:00,325.0,21265.0,4390.0
2005-07-01 00:00:00,340.0,21251.0,4390.0
2005-08-01 00:00:00,368.0,23114.0,4390.0
2005-09-01 00:00:00,349.0,22067.0,4390.0
2005-10-01 00:00:00,378.0,21776.0,4390.0
2005-11-01 00:00:00,357.0,16974.0,4390.0
2005-12-01 00:00:00,377.0,19112.0,4390.0
2006-01-01 00:00:00,366.0,20204.0,4390.0
2006-02-01 00:00:00,343.0,20570.0,4390.0
2006-03-01 00:00:00,390.0,22917.0,4390.0
2006-04-01 00:00:00,380.0,20233.0,4390.0
