t,port-services-container-handled-monthly,port-services-cargo-handled-monthly,electricity-power-generation-monthly
1998-01-01 00:00:00,640663.0,9831765.0,464.0
1998-02-01 00:00:00,640663.0,9831765.0,423.0
1998-03-01 00:00:00,640663.0,9831765.0,477.0
1998-04-01 00:00:00,640663.0,9831765.0,445.0
1998-05-01 00:00:00,640663.0,9831765.0,481.0
1998-06-01 00:00:00,640663.0,9831765.0,2290.0
1998-07-01 00:00:00,640663.0,9831765.0,481.0
1998-08-01 00:00:00,640663.0,9831765.0,488.0
1998-09-01 00:00:00,640663.0,9831765.0,486.0
1998-10-01 00:00:00,640663.0,9831765.0,496.0
1998-11-01 00:00:00,640663.0,9831765.0,479.0
1998-12-01 00:00:00,640663.0,9831765.0,487.0
1999-01-01 00:00:00,145842.0,2342372.0,487.0
1999-02-01 00:00:00,133770.0,1954199.0,457.0
1999-03-01 00:00:00,151507.0,2470096.0,520.0
1999-04-01 00:00:00,144818.0,2216197.0,471.0
1999-05-01 00:00:00,133779.0,2080370.0,517.0
1999-06-01 00:00:00,144256.0,2393633.0,508.0
1999-07-01 00:00:00,144080.0,2193406.0,534.0
1999-08-01 00:00:00,147788.0,2288279.0,536.0
1999-09-01 00:00:00,138457.0,2328608.0,532.0
1999-10-01 00:00:00,138523.0,2193604.0,541.0
1999-11-01 00:00:00,135042.0,2150798.0,536.0
1999-12-01 00:00:00,146527.0,2383363.0,544.0
2000-01-01 00:00:00,140468.0,2336206.0,553.0
2000-02-01 00:00:00,139927.0,2153630.0,540.0
2000-03-01 00:00:00,143794.0,2381035.0,596.0
2000-04-01 00:00:00,138358.0,2286404.0,535.0
2000-05-01 00:00:00,147050.0,2356873.0,585.0
2000-06-01 00:00:00,144703.0,2328614.0,547.0
2000-07-01 00:00:00,157551.0,2388352.0,571.0
2000-08-01 00:00:00,149295.0,2307338.0,568.0
2000-09-01 00:00:00,139200.0,2263915.0,562.0
2000-10-01 00:00:00,147933.0,2374636.0,580.0
2000-11-01 00:00:00,141106.0,2044078.0,585.0
2000-12-01 00:00:00,143470.0,2313907.0,592.0
2001-01-01 00:00:00,139928.0,2051241.0,597.0
2001-02-01 00:00:00,140091.0,2106154.0,524.0
2001-03-01 00:00:00,163435.0,2585769.0,602.0
2001-04-01 00:00:00,150003.0,2307980.0,546.0
2001-05-01 00:00:00,145486.0,2414938.0,599.0
2001-06-01 00:00:00,163350.0,2487586.0,583.0
2001-07-01 00:00:00,169682.0,2544125.0,532.0
2001-08-01 00:00:00,139058.0,2221246.0,536.0
2001-09-01 00:00:00,122497.0,2088779.0,454.0
2001-10-01 00:00:00,135792.0,2182469.0,517.0
2001-11-01 00:00:00,127240.0,2075693.0,571.0
2001-12-01 00:00:00,129943.0,1953062.0,565.0
2002-01-01 00:00:00,130437.0,2162331.0,552.0
2002-02-01 00:00:00,125203.0,2043575.0,483.0
2002-03-01 00:00:00,142464.0,2167478.0,524.0
2002-04-01 00:00:00,138857.0,2254845.0,513.0
2002-05-01 00:00:00,141692.0,2365374.0,618.0
2002-06-01 00:00:00,151014.0,2316499.0,601.0
2002-07-01 00:00:00,161972.0,2436706.0,616.0
2002-08-01 00:00:00,156484.0,2618723.0,616.0
2002-09-01 00:00:00,155407.0,2505625.0,607.0
2002-10-01 00:00:00,158342.0,2474543.0,609.0
2002-11-01 00:00:00,149093.0,2532008.0,576.0
2002-12-01 00:00:00,157606.0,2458119.0,612.0
2003-01-01 00:00:00,154815.0,2512395.0,616.0
2003-02-01 00:00:00,146738.0,2479925.0,577.0
2003-03-01 00:00:00,166576.0,2372854.0,645.0
2003-04-01 00:00:00,143725.0,2396467.0,601.0
2003-05-01 00:00:00,152938.0,2375773.0,637.0
2003-06-01 00:00:00,165800.0,2412484.0,627.0
2003-07-01 00:00:00,185697.0,2757738.0,655.0
2003-08-01 00:00:00,182068.0,2971394.0,651.0
2003-09-01 00:00:00,172929.0,2540901.0,640.0
2003-10-01 00:00:00,167676.0,2509873.0,660.0
2003-11-01 00:00:00,153937.0,2531014.0,638.0
2003-12-01 00:00:00,166437.0,2631046.0,668.0
2004-01-01 00:00:00,162635.0,2508193.0,675.0
2004-02-01 00:00:00,155398.0,2463063.0,643.0
2004-03-01 00:00:00,189323.0,3033623.0,706.0
2004-04-01 00:00:00,164847.0,2575407.0,642.0
2004-05-01 00:00:00,173095.0,2618638.0,693.0
2004-06-01 00:00:00,183768.0,2794086.0,682.0
2004-07-01 00:00:00,202948.0,3076116.0,695.0
2004-08-01 00:00:00,205817.0,3089828.0,702.0
2004-09-01 00:00:00,198578.0,2966013.0,668.0
2004-10-01 00:00:00,210585.0,3159557.0,692.0
2004-11-01 00:00:00,186593.0,2782041.0,674.0
2004-12-01 00:00:00,186938.0,2892841.0,685.0
2005-01-01 00:00:00,191281.0,2801927.0,693.0
2005-02-01 00:00:00,170406.0,2719952.0,643.0
2005-03-01 00:00:00,202282.0,3189852.0,744.0
2005-04-01 00:00:00,202078.0,3152568.0,680.0
2005-05-01 00:00:00,202840.0,2973269.0,746.0
2005-06-01 00:00:00,204838.0,3252274.0,732.0
2005-07-01 00:00:00,217241.0,2957033.0,745.0
2005-08-01 00:00:00,220732.0,3273232.0,768.0
2005-09-01 00:00:00,207203.0,3278743.0,748.0
2005-10-01 00:00:00,220327.0,3411856.0,765.0
2005-11-01 00:00:00,202727.0,3082146.0,717.0
2005-12-01 00:00:00,213342.0,3207808.0,771.0
2006-01-01 00:00:00,215516.0,3202386.0,768.0
2006-02-01 00:00:00,187437.0,2965668.0,716.0
2006-03-01 00:00:00,245024.0,3644572.0,809.0
2006-04-01 00:00:00,259526.0,3575746.0,757.0
2006-05-01 00:00:00,255335.0,3658221.0,814.0
2006-06-01 00:00:00,267679.0,3753571.0,788.0
2006-07-01 00:00:00,259758.0,3531275.0,805.0
2006-08-01 00:00:00,300924.0,3913018.0,799.0
2006-09-01 00:00:00,282258.0,3524600.0,781.0
2006-10-01 00:00:00,273697.0,3650157.0,786.0
2006-11-01 00:00:00,261874.0,3498623.0,768.0
2006-12-01 00:00:00,270057.0,3743137.0,797.0
2007-01-01 00:00:00,277794.0,3613877.0,799.0
2007-02-01 00:00:00,252550.0,3458386.0,734.0
2007-03-01 00:00:00,287234.0,3946450.0,849.0
2007-04-01 00:00:00,268403.0,3937200.0,757.0
2007-05-01 00:00:00,275686.0,3873488.0,843.0
2007-06-01 00:00:00,263735.0,3836680.0,812.0
2007-07-01 00:00:00,304625.0,4099896.0,848.0
2007-08-01 00:00:00,303902.0,3915867.0,850.0
2007-09-01 00:00:00,286711.0,3940843.0,817.0
2007-10-01 00:00:00,312805.0,4035495.0,850.0
2007-11-01 00:00:00,257766.0,3669610.0,820.0
2007-12-01 00:00:00,290021.0,4016428.0,837.0
2008-01-01 00:00:00,289501.0,4025092.0,844.0
2008-02-01 00:00:00,280810.0,3768373.0,796.0
2008-03-01 00:00:00,316967.0,4263753.0,850.0
2008-04-01 00:00:00,286523.0,4083550.0,793.0
2008-05-01 00:00:00,305022.0,4330588.0,865.0
2008-06-01 00:00:00,315387.0,4400138.0,817.0
2008-07-01 00:00:00,326124.0,4303036.0,838.0
2008-08-01 00:00:00,340240.0,4671978.0,834.0
2008-09-01 00:00:00,335517.0,4559988.0,828.0
2008-10-01 00:00:00,325774.0,4443929.0,824.0
2008-11-01 00:00:00,306165.0,4083119.0,794.0
2008-12-01 00:00:00,259308.0,3679114.0,812.0
2009-01-01 00:00:00,259089.0,3299411.0,806.0
2009-02-01 00:00:00,222604.0,3051111.0,731.0
2009-03-01 00:00:00,297911.0,4076438.0,826.0
2009-04-01 00:00:00,262934.0,3523425.0,776.0
2009-05-01 00:00:00,277268.0,4067232.0,833.0
2009-06-01 00:00:00,300953.0,4481385.0,820.0
2009-07-01 00:00:00,308628.0,4387670.0,853.0
2009-08-01 00:00:00,327639.0,4658315.0,845.0
2009-09-01 00:00:00,319818.0,4317970.0,842.0
2009-10-01 00:00:00,283966.0,4315075.0,856.0
2009-11-01 00:00:00,294478.0,4139059.0,822.0
2009-12-01 00:00:00,309009.0,4460376.0,871.0
2010-01-01 00:00:00,328290.0,4981966.0,846.0
2010-02-01 00:00:00,304075.0,4430887.0,806.0
2010-03-01 00:00:00,360801.0,5237548.0,935.0
2010-04-01 00:00:00,333769.0,5087952.0,845.0
2010-05-01 00:00:00,353745.0,5146914.0,881.0
2010-06-01 00:00:00,330603.0,4997287.0,902.0
2010-07-01 00:00:00,363642.0,5327629.0,933.0
2010-08-01 00:00:00,360546.0,5363624.0,918.0
2010-09-01 00:00:00,355639.0,5233626.0,897.0
2010-10-01 00:00:00,366337.0,5377495.0,939.0
2010-11-01 00:00:00,343339.0,5102705.0,886.0
2010-12-01 00:00:00,336655.0,4951759.0,926.0
2011-01-01 00:00:00,370212.0,5582229.0,893.0
2011-02-01 00:00:00,336724.0,4808717.0,836.0
2011-03-01 00:00:00,369604.0,5733088.0,989.0
2011-04-01 00:00:00,340038.0,5145776.0,897.0
2011-05-01 00:00:00,334061.0,5158283.0,1002.0
2011-06-01 00:00:00,343091.0,5369870.0,963.0
2011-07-01 00:00:00,354054.0,5437678.0,1001.0
2011-08-01 00:00:00,375204.0,5644017.0,1014.0
2011-09-01 00:00:00,340596.0,5377313.0,986.0
2011-10-01 00:00:00,362238.0,5714201.0,990.0
2011-11-01 00:00:00,356342.0,5388327.0,958.0
2011-12-01 00:00:00,380723.0,5708657.0,998.0
2012-01-01 00:00:00,355363.0,5681935.0,981.0
2012-02-01 00:00:00,305578.0,4834841.0,926.0
2012-03-01 00:00:00,366424.0,5855796.0,1036.0
2012-04-01 00:00:00,330186.0,5140386.0,913.0
2012-05-01 00:00:00,361447.0,5411665.0,1038.0
2012-06-01 00:00:00,363831.0,5621281.0,982.0
2012-07-01 00:00:00,377063.0,5634786.0,1000.0
2012-08-01 00:00:00,362713.0,5550197.0,983.0
2012-09-01 00:00:00,329199.0,5325356.0,982.0
2012-10-01 00:00:00,359870.0,5505852.0,1012.0
2012-11-01 00:00:00,321141.0,5129697.0,965.0
2012-12-01 00:00:00,354305.0,5275235.0,983.0
2013-01-01 00:00:00,354434.0,5260472.0,984.0
2013-02-01 00:00:00,310535.0,4793638.0,909.0
2013-03-01 00:00:00,376743.0,5838902.0,1051.0
