t,port-services-cargo-handled-monthly,port-services-container-handled-monthly,electricity-power-generation-monthly,electricity-power-consumption-monthly
1998-01-01 00:00:00,9831765.0,640663.0,464.0,360.0
1998-02-01 00:00:00,9831765.0,640663.0,423.0,369.0
1998-03-01 00:00:00,9831765.0,640663.0,477.0,357.0
1998-04-01 00:00:00,9831765.0,640663.0,445.0,364.0
1998-05-01 00:00:00,9831765.0,640663.0,481.0,379.0
1998-06-01 00:00:00,9831765.0,640663.0,2290.0,388.0
1998-07-01 00:00:00,9831765.0,640663.0,481.0,363.0
1998-08-01 00:00:00,9831765.0,640663.0,488.0,386.0
1998-09-01 00:00:00,9831765.0,640663.0,486.0,389.0
1998-10-01 00:00:00,9831765.0,640663.0,496.0,391.0
1998-11-01 00:00:00,9831765.0,640663.0,479.0,412.0
1998-12-01 00:00:00,9831765.0,640663.0,487.0,364.0
1999-01-01 00:00:00,2342372.0,145842.0,487.0,385.0
1999-02-01 00:00:00,1954199.0,133770.0,457.0,390.0
1999-03-01 00:00:00,2470096.0,151507.0,520.0,375.0
1999-04-01 00:00:00,2216197.0,144818.0,471.0,388.0
1999-05-01 00:00:00,2080370.0,133779.0,517.0,397.0
1999-06-01 00:00:00,2393633.0,144256.0,508.0,403.0
1999-07-01 00:00:00,2193406.0,144080.0,534.0,397.0
1999-08-01 00:00:00,2288279.0,147788.0,536.0,413.0
1999-09-01 00:00:00,2328608.0,138457.0,532.0,423.0
1999-10-01 00:00:00,2193604.0,138523.0,541.0,405.0
1999-11-01 00:00:00,2150798.0,135042.0,536.0,421.0
1999-12-01 00:00:00,2383363.0,146527.0,544.0,412.0
2000-01-01 00:00:00,2336206.0,140468.0,553.0,423.0
2000-02-01 00:00:00,2153630.0,139927.0,540.0,406.0
2000-03-01 00:00:00,2381035.0,143794.0,596.0,424.0
2000-04-01 00:00:00,2286404.0,138358.0,535.0,429.0
2000-05-01 00:00:00,2356873.0,147050.0,585.0,433.0
2000-06-01 00:00:00,2328614.0,144703.0,547.0,421.0
2000-07-01 00:00:00,2388352.0,157551.0,571.0,427.0
2000-08-01 00:00:00,2307338.0,149295.0,568.0,450.0
2000-09-01 00:00:00,2263915.0,139200.0,562.0,451.0
2000-10-01 00:00:00,2374636.0,147933.0,580.0,443.0
2000-11-01 00:00:00,2044078.0,141106.0,585.0,474.0
2000-12-01 00:00:00,2313907.0,143470.0,592.0,477.0
2001-01-01 00:00:00,2051241.0,139928.0,597.0,463.0
2001-02-01 00:00:00,2106154.0,140091.0,524.0,443.0
2001-03-01 00:00:00,2585769.0,163435.0,602.0,429.0
2001-04-01 00:00:00,2307980.0,150003.0,546.0,439.0
2001-05-01 00:00:00,2414938.0,145486.0,599.0,445.0
2001-06-01 00:00:00,2487586.0,163350.0,583.0,457.0
2001-07-01 00:00:00,2544125.0,169682.0,532.0,425.0
2001-08-01 00:00:00,2221246.0,139058.0,536.0,430.0
2001-09-01 00:00:00,2088779.0,122497.0,454.0,406.0
2001-10-01 00:00:00,2182469.0,135792.0,517.0,393.0
2001-11-01 00:00:00,2075693.0,127240.0,571.0,469.0
2001-12-01 00:00:00,1953062.0,129943.0,565.0,459.0
2002-01-01 00:00:00,2162331.0,130437.0,552.0,450.0
2002-02-01 00:00:00,2043575.0,125203.0,483.0,424.0
2002-03-01 00:00:00,2167478.0,142464.0,524.0,373.0
2002-04-01 00:00:00,2254845.0,138857.0,513.0,394.0
2002-05-01 00:00:00,2365374.0,141692.0,618.0,455.0
2002-06-01 00:00:00,2316499.0,151014.0,601.0,468.0
2002-07-01 00:00:00,2436706.0,161972.0,616.0,477.0
2002-08-01 00:00:00,2618723.0,156484.0,616.0,497.0
2002-09-01 00:00:00,2505625.0,155407.0,607.0,494.0
2002-10-01 00:00:00,2474543.0,158342.0,609.0,485.0
2002-11-01 00:00:00,2532008.0,149093.0,576.0,494.0
2002-12-01 00:00:00,2458119.0,157606.0,612.0,493.0
2003-01-01 00:00:00,2512395.0,154815.0,616.0,492.0
2003-02-01 00:00:00,2479925.0,146738.0,577.0,507.0
2003-03-01 00:00:00,2372854.0,166576.0,645.0,495.0
2003-04-01 00:00:00,2396467.0,143725.0,601.0,511.0
2003-05-01 00:00:00,2375773.0,152938.0,637.0,498.0
2003-06-01 00:00:00,2412484.0,165800.0,627.0,528.0
2003-07-01 00:00:00,2757738.0,185697.0,655.0,506.0
2003-08-01 00:00:00,2971394.0,182068.0,651.0,527.0
2003-09-01 00:00:00,2540901.0,172929.0,640.0,534.0
2003-10-01 00:00:00,2509873.0,167676.0,660.0,531.0
2003-11-01 00:00:00,2531014.0,153937.0,638.0,535.0
2003-12-01 00:00:00,2631046.0,166437.0,668.0,542.0
