t,transport-vehicle-registrations-monthly,port-services-vessels-arrived-monthly,public-road-transport-operated-average-busses-monthly
1998-01-01 00:00:00,7092.0,377.0,4390.0
1998-02-01 00:00:00,7200.0,377.0,4390.0
1998-03-01 00:00:00,8934.0,377.0,4390.0
1998-04-01 00:00:00,7348.0,377.0,4390.0
1998-05-01 00:00:00,7334.0,377.0,4390.0
1998-06-01 00:00:00,8375.0,377.0,4390.0
1998-07-01 00:00:00,9025.0,377.0,4390.0
1998-08-01 00:00:00,9085.0,377.0,4390.0
1998-09-01 00:00:00,10833.0,377.0,4390.0
1998-10-01 00:00:00,9757.0,377.0,4390.0
1998-11-01 00:00:00,7881.0,377.0,4390.0
1998-12-01 00:00:00,10896.0,377.0,4390.0
1999-01-01 00:00:00,7490.0,377.0,4390.0
1999-02-01 00:00:00,8312.0,350.0,4390.0
1999-03-01 00:00:00,9069.0,406.0,4390.0
1999-04-01 00:00:00,6515.0,387.0,4390.0
1999-05-01 00:00:00,9154.0,349.0,4390.0
1999-06-01 00:00:00,8795.0,344.0,4390.0
1999-07-01 00:00:00,9702.0,345.0,4390.0
1999-08-01 00:00:00,9827.0,372.0,4390.0
1999-09-01 00:00:00,9118.0,361.0,4390.0
1999-10-01 00:00:00,7793.0,349.0,4390.0
1999-11-01 00:00:00,7238.0,349.0,4390.0
1999-12-01 00:00:00,9840.0,350.0,4390.0
2000-01-01 00:00:00,7326.0,362.0,4390.0
2000-02-01 00:00:00,7668.0,350.0,4390.0
2000-03-01 00:00:00,8749.0,373.0,4390.0
2000-04-01 00:00:00,5862.0,358.0,4390.0
2000-05-01 00:00:00,7650.0,363.0,4390.0
2000-06-01 00:00:00,8520.0,341.0,4390.0
2000-07-01 00:00:00,8256.0,354.0,4390.0
2000-08-01 00:00:00,7143.0,367.0,4390.0
2000-09-01 00:00:00,11367.0,341.0,4390.0
2000-10-01 00:00:00,6224.0,346.0,4390.0
2000-11-01 00:00:00,7475.0,337.0,4390.0
2000-12-01 00:00:00,5707.0,340.0,4390.0
2001-01-01 00:00:00,8680.0,350.0,4390.0
2001-02-01 00:00:00,6963.0,335.0,4390.0
2001-03-01 00:00:00,7185.0,380.0,4390.0
2001-04-01 00:00:00,5389.0,344.0,4390.0
2001-05-01 00:00:00,6282.0,352.0,4390.0
2001-06-01 00:00:00,5776.0,347.0,4390.0
2001-07-01 00:00:00,5618.0,359.0,4390.0
2001-08-01 00:00:00,5925.0,300.0,4390.0
2001-09-01 00:00:00,4994.0,284.0,4390.0
2001-10-01 00:00:00,5444.0,297.0,4390.0
2001-11-01 00:00:00,6120.0,269.0,4390.0
2001-12-01 00:00:00,4258.0,304.0,4390.0
2002-01-01 00:00:00,6119.0,311.0,4390.0
2002-02-01 00:00:00,6488.0,310.0,4390.0
2002-03-01 00:00:00,6210.0,351.0,4390.0
2002-04-01 00:00:00,8149.0,329.0,4390.0
2002-05-01 00:00:00,8444.0,353.0,4390.0
2002-06-01 00:00:00,6959.0,328.0,4390.0
2002-07-01 00:00:00,11756.0,343.0,4390.0
2002-08-01 00:00:00,10834.0,355.0,4390.0
2002-09-01 00:00:00,11384.0,338.0,4390.0
2002-10-01 00:00:00,12528.0,363.0,4390.0
2002-11-01 00:00:00,11979.0,343.0,4390.0
2002-12-01 00:00:00,12501.0,338.0,4390.0
2003-01-01 00:00:00,15256.0,352.0,4390.0
2003-02-01 00:00:00,15078.0,341.0,4390.0
2003-03-01 00:00:00,16069.0,358.0,4390.0
2003-04-01 00:00:00,14657.0,332.0,4390.0
2003-05-01 00:00:00,14587.0,333.0,4390.0
2003-06-01 00:00:00,15749.0,327.0,4390.0
2003-07-01 00:00:00,16292.0,326.0,4390.0
2003-08-01 00:00:00,14012.0,339.0,4390.0
2003-09-01 00:00:00,14212.0,319.0,4390.0
2003-10-01 00:00:00,15046.0,333.0,4390.0
2003-11-01 00:00:00,14470.0,326.0,4390.0
2003-12-01 00:00:00,16074.0,346.0,4390.0
2004-01-01 00:00:00,17770.0,331.0,4390.0
2004-02-01 00:00:00,15018.0,322.0,4390.0
2004-03-01 00:00:00,20972.0,364.0,4390.0
2004-04-01 00:00:00,14429.0,320.0,4390.0
2004-05-01 00:00:00,18244.0,323.0,4390.0
2004-06-01 00:00:00,19280.0,330.0,4390.0
2004-07-01 00:00:00,19496.0,316.0,4390.0
2004-08-01 00:00:00,19827.0,314.0,4390.0
2004-09-01 00:00:00,20354.0,306.0,4390.0
2004-10-01 00:00:00,20127.0,327.0,4390.0
2004-11-01 00:00:00,19687.0,318.0,4390.0
2004-12-01 00:00:00,18638.0,314.0,4390.0
2005-01-01 00:00:00,13732.0,328.0,4390.0
2005-02-01 00:00:00,14920.0,314.0,4390.0
2005-03-01 00:00:00,19204.0,350.0,4390.0
2005-04-01 00:00:00,16577.0,326.0,4390.0
2005-05-01 00:00:00,19673.0,328.0,4390.0
2005-06-01 00:00:00,21265.0,325.0,4390.0
2005-07-01 00:00:00,21251.0,340.0,4390.0
2005-08-01 00:00:00,23114.0,368.0,4390.0
2005-09-01 00:00:00,22067.0,349.0,4390.0
2005-10-01 00:00:00,21776.0,378.0,4390.0
2005-11-01 00:00:00,16974.0,357.0,4390.0
2005-12-01 00:00:00,19112.0,377.0,4390.0
2006-01-01 00:00:00,20204.0,366.0,4390.0
2006-02-01 00:00:00,20570.0,343.0,4390.0
2006-03-01 00:00:00,22917.0,390.0,4390.0
2006-04-01 00:00:00,20233.0,380.0,4390.0
2006-05-01 00:00:00,27382.0,382.0,4390.0
2006-06-01 00:00:00,27516.0,382.0,4390.0
2006-07-01 00:00:00,27784.0,329.0,4390.0
2006-08-01 00:00:00,29145.0,384.0,4390.0
2006-09-01 00:00:00,27328.0,362.0,4390.0
2006-10-01 00:00:00,27046.0,379.0,4390.0
2006-11-01 00:00:00,25668.0,369.0,4390.0
2006-12-01 00:00:00,24729.0,386.0,4390.0
2007-01-01 00:00:00,27394.0,401.0,4390.0
2007-02-01 00:00:00,25097.0,354.0,4390.0
2007-03-01 00:00:00,29012.0,411.0,4390.0
2007-04-01 00:00:00,20690.0,395.0,4390.0
2007-05-01 00:00:00,24352.0,390.0,4390.0
2007-06-01 00:00:00,26517.0,379.0,4390.0
2007-07-01 00:00:00,23440.0,404.0,4390.0
2007-08-01 00:00:00,26126.0,401.0,4390.0
2007-09-01 00:00:00,23206.0,390.0,4390.0
2007-10-01 00:00:00,25456.0,411.0,4390.0
2007-11-01 00:00:00,26112.0,373.0,4390.0
2007-12-01 00:00:00,20491.0,401.0,4390.0
2008-01-01 00:00:00,25632.0,396.0,4390.0
2008-02-01 00:00:00,19752.0,374.0,4390.0
2008-03-01 00:00:00,22087.0,414.0,4390.0
2008-04-01 00:00:00,23106.0,402.0,4390.0
2008-05-01 00:00:00,22159.0,420.0,4390.0
2008-06-01 00:00:00,23856.0,394.0,4390.0
2008-07-01 00:00:00,23826.0,401.0,4390.0
2008-08-01 00:00:00,20932.0,403.0,4390.0
2008-09-01 00:00:00,21687.0,400.0,4390.0
2008-10-01 00:00:00,22136.0,408.0,4390.0
2008-11-01 00:00:00,20555.0,401.0,4390.0
2008-12-01 00:00:00,19471.0,401.0,4390.0
2009-01-01 00:00:00,17430.0,390.0,4390.0
2009-02-01 00:00:00,13578.0,306.0,4390.0
2009-03-01 00:00:00,15883.0,401.0,4390.0
2009-04-01 00:00:00,14455.0,359.0,4390.0
2009-05-01 00:00:00,14268.0,403.0,4390.0
2009-06-01 00:00:00,15379.0,383.0,4390.0
2009-07-01 00:00:00,17536.0,393.0,4390.0
2009-08-01 00:00:00,16293.0,391.0,4390.0
2009-09-01 00:00:00,17870.0,366.0,4390.0
2009-10-01 00:00:00,21239.0,382.0,4390.0
2009-11-01 00:00:00,19315.0,337.0,4390.0
2009-12-01 00:00:00,21015.0,345.0,4390.0
2010-01-01 00:00:00,19090.0,363.0,4390.0
2010-02-01 00:00:00,24662.0,299.0,4427.0
2010-03-01 00:00:00,29629.0,348.0,4516.0
2010-04-01 00:00:00,22548.0,335.0,4212.0
2010-05-01 00:00:00,25340.0,341.0,4309.0
2010-06-01 00:00:00,30905.0,316.0,4414.0
2010-07-01 00:00:00,33421.0,349.0,4495.0
2010-08-01 00:00:00,34554.0,329.0,4465.0
2010-09-01 00:00:00,30659.0,344.0,4542.0
2010-10-01 00:00:00,34183.0,354.0,4510.0
2010-11-01 00:00:00,36998.0,354.0,4511.0
2010-12-01 00:00:00,37254.0,335.0,4495.0
2011-01-01 00:00:00,39544.0,355.0,4470.0
2011-02-01 00:00:00,35666.0,322.0,4377.0
2011-03-01 00:00:00,45945.0,378.0,4435.0
2011-04-01 00:00:00,37398.0,380.0,4228.0
2011-05-01 00:00:00,41862.0,362.0,4241.0
2011-06-01 00:00:00,48157.0,355.0,4330.0
2011-07-01 00:00:00,43725.0,360.0,4355.0
2011-08-01 00:00:00,45279.0,388.0,4373.0
2011-09-01 00:00:00,47906.0,360.0,4344.0
2011-10-01 00:00:00,44891.0,366.0,4416.0
2011-11-01 00:00:00,49284.0,337.0,4392.0
2011-12-01 00:00:00,45764.0,369.0,4413.0
