t,formal-private-sector-wage-rate-index(december-1978=100)(nominal)-monthly,merchandise-exports-total-quarterly,month-end-a-exchange-rates-monthly,monthly-average-exchange-rates-monthly
1992-03-01 00:00:00,8239.0,583.9,327.38,43.1
1992-04-01 00:00:00,8239.0,1304.5,323.92,43.4
1992-05-01 00:00:00,8239.0,1304.5,323.92,43.6
1992-06-01 00:00:00,8239.0,490.5,327.38,43.9
1992-07-01 00:00:00,8239.0,1304.5,323.92,44.0
1992-08-01 00:00:00,8239.0,1304.5,323.92,44.1
1992-09-01 00:00:00,8239.0,576.5,327.38,44.2
1992-10-01 00:00:00,8239.0,1304.5,323.92,44.4
1992-11-01 00:00:00,8239.0,1304.5,323.92,44.6
1992-12-01 00:00:00,8239.0,810.0,327.38,45.0
1993-01-01 00:00:00,8239.0,1304.5,323.92,46.3
1993-02-01 00:00:00,8239.0,1304.5,323.92,46.5
1993-03-01 00:00:00,8239.0,640.5,327.38,47.0
1993-04-01 00:00:00,8239.0,1304.5,323.92,47.8
1993-05-01 00:00:00,8239.0,1304.5,323.92,48.1
1993-06-01 00:00:00,8239.0,667.1,327.38,48.2
1993-07-01 00:00:00,8239.0,1304.5,323.92,48.8
1993-08-01 00:00:00,8239.0,1304.5,323.92,49.0
1993-09-01 00:00:00,8239.0,744.2,327.38,49.1
1993-10-01 00:00:00,8239.0,1304.5,323.92,49.2
1993-11-01 00:00:00,8239.0,1304.5,323.92,49.3
1993-12-01 00:00:00,8239.0,811.8,327.38,49.5
1994-01-01 00:00:00,8239.0,1304.5,323.92,49.7
1994-02-01 00:00:00,8239.0,1304.5,323.92,49.4
1994-03-01 00:00:00,8239.0,655.7,327.38,49.2
1994-04-01 00:00:00,8239.0,1304.5,323.92,49.2
1994-05-01 00:00:00,8239.0,1304.5,323.92,49.3
1994-06-01 00:00:00,8239.0,758.8,327.38,49.6
1994-07-01 00:00:00,8239.0,1304.5,323.92,49.3
1994-08-01 00:00:00,8239.0,1304.5,323.92,49.5
1994-09-01 00:00:00,8239.0,882.5,327.38,49.5
1994-10-01 00:00:00,8239.0,1304.5,323.92,49.4
1994-11-01 00:00:00,8239.0,1304.5,323.92,49.3
1994-12-01 00:00:00,8239.0,911.6,327.38,49.7
1995-03-01 00:00:00,8239.0,828.0,327.38,49.7
1995-06-01 00:00:00,8239.0,923.8,327.38,49.7
1995-09-01 00:00:00,8239.0,983.8,327.38,49.7
1995-12-01 00:00:00,8239.0,1071.0,327.38,49.7
1996-01-01 00:00:00,8239.0,1304.5,54.2,54.2
1996-02-01 00:00:00,8239.0,1304.5,54.1,54.2
1996-03-01 00:00:00,8239.0,907.5,54.2,54.2
1996-04-01 00:00:00,8239.0,1304.5,54.2,54.2
1996-05-01 00:00:00,8239.0,1304.5,54.7,54.4
1996-06-01 00:00:00,8239.0,911.6,55.2,55.0
1996-07-01 00:00:00,8239.0,1304.5,55.6,55.5
1996-08-01 00:00:00,8239.0,1304.5,55.9,55.8
1996-09-01 00:00:00,8239.0,1099.7,56.4,56.2
1996-10-01 00:00:00,8239.0,1304.5,56.5,56.5
1996-11-01 00:00:00,8239.0,1304.5,56.6,56.5
1996-12-01 00:00:00,8239.0,1176.3,56.7,56.6
1997-01-01 00:00:00,8239.0,1304.5,57.2,56.9
1997-02-01 00:00:00,8239.0,1304.5,57.5,57.4
1997-03-01 00:00:00,8239.0,1013.1,58.0,57.8
1997-04-01 00:00:00,8239.0,1304.5,58.7,58.4
1997-05-01 00:00:00,8239.0,1304.5,58.9,58.8
1997-06-01 00:00:00,8239.0,1036.7,59.0,59.0
1997-07-01 00:00:00,8239.0,1304.5,59.4,59.2
1997-08-01 00:00:00,8239.0,1304.5,59.5,59.5
1997-09-01 00:00:00,8239.0,1284.7,59.8,59.7
1997-10-01 00:00:00,8239.0,1304.5,60.1,59.9
1997-11-01 00:00:00,8239.0,1304.5,60.6,60.3
1997-12-01 00:00:00,8239.0,1304.5,61.3,61.0
1998-01-01 00:00:00,941.3,1116.2,61.6,61.5
1998-02-01 00:00:00,941.7,1116.2,62.0,61.8
1998-03-01 00:00:00,941.3,1116.2,62.7,62.3
1998-04-01 00:00:00,945.0,1116.2,63.4,63.1
1998-05-01 00:00:00,946.8,1116.2,64.3,63.9
1998-06-01 00:00:00,947.4,1136.1,64.8,64.5
1998-07-01 00:00:00,948.4,1136.1,65.7,65.2
1998-08-01 00:00:00,949.2,1136.1,66.0,66.0
1998-09-01 00:00:00,949.1,1317.8,66.1,66.1
1998-10-01 00:00:00,974.8,1317.8,66.5,66.3
1998-11-01 00:00:00,977.1,1317.8,67.4,66.9
1998-12-01 00:00:00,977.4,1227.8,67.8,67.5
1999-01-01 00:00:00,977.4,1227.8,68.2,67.9
1999-02-01 00:00:00,977.4,1227.8,68.8,68.5
1999-03-01 00:00:00,977.6,1008.3,69.5,69.1
1999-04-01 00:00:00,977.6,1008.3,69.9,69.7
1999-05-01 00:00:00,977.6,1008.3,70.4,70.2
1999-06-01 00:00:00,977.6,1052.5,70.9,70.6
1999-07-01 00:00:00,977.6,1052.5,71.0,71.1
1999-08-01 00:00:00,977.6,1052.5,71.1,71.1
1999-09-01 00:00:00,977.6,1278.4,71.3,71.2
1999-10-01 00:00:00,977.6,1278.4,71.6,71.4
1999-11-01 00:00:00,977.6,1278.4,71.9,71.8
1999-12-01 00:00:00,977.6,1271.0,72.1,72.1
2000-01-01 00:00:00,977.6,1271.0,72.6,72.4
2000-02-01 00:00:00,977.6,1271.0,73.0,72.8
2000-03-01 00:00:00,977.6,1253.9,73.1,73.1
2000-04-01 00:00:00,982.9,1253.9,73.5,73.3
2000-05-01 00:00:00,982.9,1253.9,74.0,73.8
2000-06-01 00:00:00,982.9,1216.6,77.5,75.7
2000-07-01 00:00:00,1018.2,1216.6,77.5,77.5
2000-08-01 00:00:00,1020.3,1216.6,77.5,77.5
2000-09-01 00:00:00,1020.3,1586.5,77.5,77.5
2000-10-01 00:00:00,1020.3,1586.5,77.5,77.5
2000-11-01 00:00:00,1020.3,1586.5,79.1,78.4
2000-12-01 00:00:00,1024.0,1465.3,80.1,79.7
2001-01-01 00:00:00,1024.0,1465.3,90.3,83.7
2001-02-01 00:00:00,1026.8,1465.3,86.1,87.0
2001-03-01 00:00:00,1044.2,1274.3,86.8,85.8
2001-04-01 00:00:00,1045.5,1274.3,89.5,87.9
2001-05-01 00:00:00,1045.9,1274.3,91.5,90.7
2001-06-01 00:00:00,1053.0,1158.1,90.7,90.4
2001-07-01 00:00:00,1053.1,1158.1,89.9,90.3
2001-08-01 00:00:00,1053.1,1158.1,90.1,89.9
2001-09-01 00:00:00,1053.1,1296.6,90.1,90.2
2001-10-01 00:00:00,1053.0,1296.6,91.8,90.8
2001-11-01 00:00:00,1069.8,1296.6,93.1,92.6
2001-12-01 00:00:00,1069.8,1087.9,93.2,93.1
2002-01-01 00:00:00,1069.8,1087.9,93.5,93.4
2002-02-01 00:00:00,1069.9,1087.9,93.6,93.5
2002-03-01 00:00:00,1069.9,1080.2,95.6,94.7
2002-04-01 00:00:00,1069.9,1080.2,96.1,95.9
2002-05-01 00:00:00,1069.9,1080.2,96.2,96.2
2002-06-01 00:00:00,1069.9,931.7,96.1,96.2
2002-07-01 00:00:00,1183.1,931.7,96.3,96.1
2002-08-01 00:00:00,1183.1,931.7,96.3,96.3
2002-09-01 00:00:00,1183.0,1405.7,96.3,96.2
2002-10-01 00:00:00,1183.0,1405.7,96.4,96.3
2002-11-01 00:00:00,1183.0,1405.7,96.6,96.5
2002-12-01 00:00:00,1183.0,1281.4,96.7,96.7
2003-01-01 00:00:00,1183.1,1281.4,96.8,96.8
2003-02-01 00:00:00,1184.0,1281.4,96.9,96.9
2003-03-01 00:00:00,1184.3,1197.5,96.9,96.9
2003-04-01 00:00:00,1189.0,1197.5,97.1,97.0
2003-05-01 00:00:00,1215.3,1197.5,97.3,97.2
2003-06-01 00:00:00,1215.3,1180.3,97.1,97.2
2003-07-01 00:00:00,1215.4,1180.3,97.1,97.1
2003-08-01 00:00:00,1215.3,1180.3,96.8,97.0
2003-09-01 00:00:00,1215.3,1424.1,94.4,95.5
2003-10-01 00:00:00,1215.3,1424.1,94.8,94.5
2003-11-01 00:00:00,1215.3,1424.1,96.5,95.8
2003-12-01 00:00:00,1215.3,1331.5,96.7,96.4
2004-01-01 00:00:00,1219.1,1331.5,97.5,97.9
2004-02-01 00:00:00,1219.1,1331.5,99.0,98.5
2004-03-01 00:00:00,1219.1,1364.4,97.4,97.5
2004-04-01 00:00:00,1233.5,1364.4,98.3,98.0
2004-05-01 00:00:00,1237.2,1364.4,99.1,98.9
2004-06-01 00:00:00,1237.2,1241.5,102.3,100.7
2004-07-01 00:00:00,1237.4,1241.5,103.4,102.8
2004-08-01 00:00:00,1237.4,1241.5,103.1,103.4
2004-09-01 00:00:00,1237.4,1537.0,103.7,103.2
2004-10-01 00:00:00,1238.5,1537.0,104.0,103.8
2004-11-01 00:00:00,1240.2,1537.0,104.9,104.7
2004-12-01 00:00:00,1240.3,1614.4,104.6,104.8
2005-01-01 00:00:00,1241.0,1614.4,99.4,99.6
2005-02-01 00:00:00,1331.9,1614.4,99.5,99.4
2005-03-01 00:00:00,1332.3,1532.7,99.4,99.4
2005-04-01 00:00:00,1336.7,1532.7,99.9,99.7
2005-05-01 00:00:00,1336.7,1532.7,99.9,99.9
2005-06-01 00:00:00,1336.7,1373.7,100.0,100.0
2005-07-01 00:00:00,1336.7,1373.7,100.7,100.3
2005-08-01 00:00:00,1336.7,1373.7,101.2,100.8
2005-09-01 00:00:00,1341.8,1704.9,101.3,101.4
2005-10-01 00:00:00,1341.8,1704.9,101.8,101.5
2005-11-01 00:00:00,1341.9,1704.9,102.0,101.9
2005-12-01 00:00:00,1341.9,1735.4,102.1,102.0
2006-01-01 00:00:00,1341.9,1735.4,102.3,102.1
2006-02-01 00:00:00,1341.9,1735.4,102.5,102.2
2006-03-01 00:00:00,1341.9,1518.9,102.8,102.7
2006-04-01 00:00:00,1362.1,1518.9,102.8,102.7
2006-05-01 00:00:00,1362.1,1518.9,103.0,102.9
2006-06-01 00:00:00,1362.2,1642.9,104.0,103.5
2006-07-01 00:00:00,1362.3,1642.9,104.0,104.0
2006-08-01 00:00:00,1362.3,1642.9,102.6,103.8
2006-09-01 00:00:00,1362.3,1857.5,103.8,102.5
2006-10-01 00:00:00,1362.3,1857.5,107.3,105.6
2006-11-01 00:00:00,1362.3,1857.5,108.0,107.7
2006-12-01 00:00:00,1375.3,1863.3,107.7,107.9
2007-01-01 00:00:00,1378.0,1863.3,108.7,108.5
2007-02-01 00:00:00,1378.1,1863.3,108.7,108.7
2007-03-01 00:00:00,1378.0,1703.9,109.4,109.3
2007-04-01 00:00:00,1378.0,1703.9,110.2,109.4
2007-05-01 00:00:00,1548.8,1703.9,110.8,110.9
2007-06-01 00:00:00,1817.6,1836.2,111.4,111.0
2007-07-01 00:00:00,1817.7,1836.2,111.8,111.7
2007-08-01 00:00:00,1817.7,1836.2,113.1,112.1
2007-09-01 00:00:00,1817.7,2056.2,113.5,113.3
2007-10-01 00:00:00,1817.7,2056.2,111.4,113.1
2007-11-01 00:00:00,1817.8,2056.2,110.5,110.5
2007-12-01 00:00:00,1817.9,2043.6,108.7,109.1
2008-01-01 00:00:00,1817.9,2043.6,108.0,108.3
2008-02-01 00:00:00,1819.6,2043.6,107.9,107.9
2008-03-01 00:00:00,2046.2,1869.2,107.8,107.7
2008-04-01 00:00:00,2046.2,1869.2,107.9,107.8
2008-05-01 00:00:00,2046.3,1869.2,107.9,107.8
2008-06-01 00:00:00,2046.3,2005.0,107.7,107.8
2008-07-01 00:00:00,2168.3,2005.0,107.5,107.6
2008-08-01 00:00:00,2168.3,2005.0,107.8,107.8
2008-09-01 00:00:00,2171.4,2252.9,107.9,107.9
2008-10-01 00:00:00,2171.4,2252.9,109.4,108.1
2008-11-01 00:00:00,2171.4,2252.9,110.0,110.0
2008-12-01 00:00:00,2171.4,1983.5,113.1,111.4
2009-01-01 00:00:00,2171.3,1983.5,113.9,113.7
2009-02-01 00:00:00,2171.3,1983.5,114.3,113.9
2009-03-01 00:00:00,2171.3,1647.4,115.1,114.3
2009-04-01 00:00:00,2171.3,1647.4,120.1,117.4
2009-05-01 00:00:00,2171.3,1647.4,114.9,116.9
2009-06-01 00:00:00,2171.4,1541.3,114.9,114.9
2009-07-01 00:00:00,2171.4,1541.3,114.9,114.9
2009-08-01 00:00:00,2171.5,1541.3,114.8,114.9
2009-09-01 00:00:00,2171.5,1930.8,114.8,114.8
2009-10-01 00:00:00,2171.5,1930.8,114.8,114.8
2009-11-01 00:00:00,2171.5,1930.8,114.6,114.5
2009-12-01 00:00:00,2171.5,1965.0,114.4,114.3
2010-01-01 00:00:00,2813.6,1965.0,114.6,114.4
2010-02-01 00:00:00,2813.8,1965.0,114.4,114.5
2010-03-01 00:00:00,2813.9,2095.5,114.0,114.2
2010-04-01 00:00:00,2813.7,2095.5,114.0,113.9
2010-05-01 00:00:00,2813.6,2095.5,113.9,113.7
2010-06-01 00:00:00,2813.8,1678.7,113.5,113.6
2010-07-01 00:00:00,2824.0,1678.7,112.6,113.1
2010-08-01 00:00:00,2935.2,1678.7,112.7,112.4
2010-09-01 00:00:00,2935.2,2396.0,111.9,112.5
2010-10-01 00:00:00,2935.4,2396.0,111.7,111.8
2010-11-01 00:00:00,2935.6,2396.0,111.5,111.6
2010-12-01 00:00:00,2935.7,2455.7,111.0,111.1
2011-01-01 00:00:00,2935.9,2455.7,111.1,110.9
2011-02-01 00:00:00,2936.1,2455.7,110.8,111.0
2011-03-01 00:00:00,2936.3,2670.7,110.4,110.4
2011-04-01 00:00:00,2936.3,2670.7,109.9,110.3
2011-05-01 00:00:00,2936.3,2670.7,109.8,109.8
2011-06-01 00:00:00,2936.4,2405.2,109.6,109.6
2011-07-01 00:00:00,2936.4,2405.2,109.5,109.5
2011-08-01 00:00:00,2936.4,2405.2,109.9,109.8
2011-09-01 00:00:00,2936.4,2774.6,110.2,110.1
2011-10-01 00:00:00,2936.4,2774.6,110.1,110.2
2011-11-01 00:00:00,2936.4,2774.6,113.9,111.3
2011-12-01 00:00:00,3653.9,2708.3,113.9,113.9
2012-01-01 00:00:00,3653.9,2708.3,113.9,113.9
2012-02-01 00:00:00,3662.4,2708.3,121.1,117.2
2012-03-01 00:00:00,3662.4,2570.1,128.2,125.5
2012-04-01 00:00:00,3662.5,2570.1,130.8,128.7
2012-05-01 00:00:00,3662.6,2570.1,132.2,129.4
2012-06-01 00:00:00,3662.7,2309.6,133.3,132.0
2012-07-01 00:00:00,3662.8,2309.6,131.8,132.9
2012-08-01 00:00:00,3662.9,2309.6,132.4,132.1
2012-09-01 00:00:00,3662.8,2424.9,129.8,131.8
2012-10-01 00:00:00,3662.8,2424.9,130.0,129.1
2012-11-01 00:00:00,3662.8,2424.9,130.3,130.3
2012-12-01 00:00:00,3662.9,2468.9,127.2,128.3
2013-01-01 00:00:00,3720.7,2468.9,126.5,126.9
2013-02-01 00:00:00,3732.0,2468.9,127.5,126.7
2013-03-01 00:00:00,3881.7,2358.4,126.9,126.8
2013-04-01 00:00:00,3889.8,2358.4,126.8,126.0
2013-05-01 00:00:00,3889.7,2358.4,126.5,126.3
2013-06-01 00:00:00,3889.9,2298.0,130.0,127.8
2013-07-01 00:00:00,3890.0,2298.0,131.6,131.0
2013-08-01 00:00:00,3890.0,2298.0,133.1,131.8
2013-09-01 00:00:00,3890.0,2677.0,132.0,132.5
2013-10-01 00:00:00,3890.0,2677.0,131.0,131.1
2013-11-01 00:00:00,3928.8,2677.0,131.2,131.1
2013-12-01 00:00:00,3938.1,3060.9,130.8,130.8
2014-01-01 00:00:00,3938.1,3060.9,130.7,130.7
2014-02-01 00:00:00,3938.1,3060.9,131.0,130.8
2014-03-01 00:00:00,3938.1,2816.4,130.7,130.6
2014-04-01 00:00:00,3938.1,2816.4,130.6,130.6
2014-05-01 00:00:00,3938.2,2816.4,130.5,130.5
2014-06-01 00:00:00,3938.2,2633.5,130.3,130.3
2014-07-01 00:00:00,3938.3,2633.5,130.2,130.2
2014-08-01 00:00:00,4099.2,2633.5,130.2,130.2
2014-09-01 00:00:00,4099.2,2852.1,130.4,130.3
2014-10-01 00:00:00,4127.1,2852.1,130.8,130.6
2014-11-01 00:00:00,4127.0,2852.1,131.0,130.9
2014-12-01 00:00:00,4127.0,2828.1,131.0,131.0
2015-01-01 00:00:00,4127.0,2828.1,132.2,131.6
2015-02-01 00:00:00,4127.2,2828.1,132.9,132.7
2015-03-01 00:00:00,4127.0,2895.8,132.9,132.9
2015-04-01 00:00:00,4126.9,2895.8,132.9,132.9
2015-05-01 00:00:00,4127.0,2895.8,133.9,133.5
2015-06-01 00:00:00,4127.0,2548.6,133.7,133.9
2015-07-01 00:00:00,4127.1,2548.6,133.6,133.7
2015-08-01 00:00:00,4127.1,2548.6,134.3,133.9
2015-09-01 00:00:00,4127.1,2592.4,141.2,138.9
2015-10-01 00:00:00,4127.1,2592.4,140.9,140.9
2015-11-01 00:00:00,4126.8,2592.4,143.2,142.0
2015-12-01 00:00:00,4127.9,2509.7,144.1,143.4
2016-01-01 00:00:00,4128.0,2509.7,143.9,143.9
2016-02-01 00:00:00,4127.9,2509.7,144.3,143.9
2016-03-01 00:00:00,4127.7,2739.2,143.9,144.0
2016-04-01 00:00:00,4127.6,2739.2,143.9,143.9
2016-05-01 00:00:00,4127.8,2739.2,145.8,145.7
2016-06-01 00:00:00,4127.9,2391.1,145.3,145.3
2016-07-01 00:00:00,4128.2,2391.1,145.75,145.41
2016-08-01 00:00:00,4128.1,2391.1,145.62,145.6
2016-09-01 00:00:00,4127.9,2655.7,146.72,145.78
2016-10-01 00:00:00,4127.9,2655.7,147.11,146.87
2016-11-01 00:00:00,4128.0,2655.7,147.95,147.77
2016-12-01 00:00:00,4128.1,2523.7,149.8,148.9
2017-01-01 00:00:00,4128.3,2523.7,150.24,150.09
2017-02-01 00:00:00,4128.4,2523.7,151.25,150.82
2017-03-01 00:00:00,4128.4,2774.3,151.74,151.43
2017-04-01 00:00:00,4128.4,2774.3,151.9,151.76
2017-05-01 00:00:00,4128.5,2774.3,152.5,152.33
2017-06-01 00:00:00,4128.6,2623.2,153.51,152.83
2017-07-01 00:00:00,4128.7,2623.2,153.73,153.67
2017-08-01 00:00:00,4128.6,2623.2,152.84,153.19
2017-09-01 00:00:00,4128.6,3026.9,153.1,152.9
2017-10-01 00:00:00,4128.7,3026.9,153.59,153.53
2017-11-01 00:00:00,4128.9,3026.9,153.77,153.66
2017-12-01 00:00:00,4129.0,2936.0,152.85,153.15
2018-01-01 00:00:00,4129.0,2936.0,153.77,153.8
2018-02-01 00:00:00,4128.9,2936.0,154.87,154.86
2018-03-01 00:00:00,4128.7,2988.68,155.97,155.73
2018-04-01 00:00:00,4128.6,2988.68,157.65,156.14
2018-05-01 00:00:00,4128.6,2988.68,158.09,157.9
2018-06-01 00:00:00,4128.7,2743.18,158.26,159.07
2018-07-01 00:00:00,4128.9,2743.18,159.71,159.34
2018-08-01 00:00:00,4160.1,2743.18,161.47,160.35
2018-09-01 00:00:00,4159.9,3165.74,169.24,164.42
2018-10-01 00:00:00,4213.6,3165.74,174.38,171.22
2018-11-01 00:00:00,4213.6,3165.74,179.67,176.85
2018-12-01 00:00:00,4213.9,2992.03,182.75,180.1
2019-01-01 00:00:00,4213.9,2992.03,179.88,182.13
2019-02-01 00:00:00,4281.0,2992.03,179.8,178.73
2019-03-01 00:00:00,4281.0,3156.13,176.13,178.43
2019-04-01 00:00:00,4280.9,3156.13,175.46,174.8
2019-05-01 00:00:00,4281.0,3156.13,176.41,176.44
2019-06-01 00:00:00,4281.1,2843.08,176.54,176.59
2019-07-01 00:00:00,4281.1,2843.08,176.24,175.99
2019-08-01 00:00:00,4281.2,2843.08,180.72,177.97
2019-09-01 00:00:00,4281.2,2984.79,181.93,180.78
2019-10-01 00:00:00,4281.3,2984.79,181.6,181.45
2019-11-01 00:00:00,4281.4,2984.79,180.43,180.37
2019-12-01 00:00:00,4281.5,2956.01,181.63,181.25
2020-01-01 00:00:00,4281.8,2956.01,181.59,181.4
2020-02-01 00:00:00,4281.9,2956.01,181.81,181.56
2020-03-01 00:00:00,4281.9,2649.66,188.62,185.06
2020-04-01 00:00:00,4281.9,2649.66,192.85,193.09
2020-05-01 00:00:00,4281.9,2649.66,186.29,187.87
2020-06-01 00:00:00,4282.0,2649.66,186.23,185.95
2020-07-01 00:00:00,4282.0,2649.66,185.68,185.85
2020-08-01 00:00:00,4282.0,2649.66,186.16,184.89
2020-09-01 00:00:00,4282.0,2649.66,185.52,185.03
2020-10-01 00:00:00,4282.1,2649.66,184.28,184.44
2020-11-01 00:00:00,4282.2,2649.66,184.96,184.79
2020-12-01 00:00:00,4282.2,2649.66,186.41,187.18
2021-01-01 00:00:00,4282.4,2649.66,194.39,190.49
2021-02-01 00:00:00,4282.4,2649.66,194.01,194.07
2021-03-01 00:00:00,8020.7,2649.66,199.04,196.98
2021-04-01 00:00:00,8020.6,2649.66,199.54,197.42
2021-05-01 00:00:00,8020.7,2649.66,199.5,199.58
2021-06-01 00:00:00,8020.8,2649.66,201.14,199.82
2021-07-01 00:00:00,8021.0,2649.66,199.9,199.98
2021-08-01 00:00:00,8192.5,2649.66,210.0,200.5
2021-09-01 00:00:00,8192.5,2649.66,199.99,201.99
2021-10-01 00:00:00,8193.1,2649.66,201.87,201.09
2021-11-01 00:00:00,8193.4,2649.66,202.05,201.86
2021-12-01 00:00:00,8193.8,2649.66,200.43,201.4
2022-01-01 00:00:00,8194.4,2649.66,201.19,201.46
2022-02-01 00:00:00,8194.8,2649.66,201.06,201.74
2022-03-01 00:00:00,8194.9,2649.66,299.0,255.81
2022-04-01 00:00:00,8195.3,2649.66,341.85,319.44
2022-05-01 00:00:00,8196.7,2649.66,360.76,358.94
2022-06-01 00:00:00,8198.2,2649.66,359.88,360.24
2022-07-01 00:00:00,8200.1,2649.66,360.8,360.87
2022-08-01 00:00:00,8201.1,2649.66,361.15,361.0
2022-09-01 00:00:00,8201.5,2649.66,362.9,362.38
2022-10-01 00:00:00,8201.9,2649.66,363.3,363.15
2022-11-01 00:00:00,8201.9,2649.66,363.19,363.39
2022-12-01 00:00:00,8201.8,2649.66,363.11,363.17
2023-01-01 00:00:00,8201.8,2649.66,362.14,362.42
2023-02-01 00:00:00,8202.0,2649.66,361.63,361.98
2023-03-01 00:00:00,8239.1,2649.66,327.29,329.47
2023-04-01 00:00:00,8239.1,2649.66,321.65,321.42
2023-05-01 00:00:00,8238.8,2649.66,295.52,310.16
2023-06-01 00:00:00,8239.0,2649.66,308.83,301.26
2023-07-01 00:00:00,8239.1,2649.66,329.36,319.29
2023-08-01 00:00:00,8239.0,2649.66,322.66,321.58
2023-09-01 00:00:00,8238.8,2649.66,324.45,322.77
2023-10-01 00:00:00,8239.0,2649.66,327.38,324.73
2023-11-01 00:00:00,8239.0,1304.5,329.04,328.25
2023-12-01 00:00:00,8239.0,1304.5,323.92,328.25
