t,formal-private-sector-wage-rate-index(december-1978=100)(nominal)-monthly,merchandise-exports-total-quarterly,month-end-a-exchange-rates-monthly,monthly-average-exchange-rates-monthly
1986-01-01 00:00:00,8239.0,1304.5,323.92,27.5
1986-02-01 00:00:00,8239.0,1304.5,323.92,27.6
1986-03-01 00:00:00,8239.0,288.8,327.38,27.6
1986-04-01 00:00:00,8239.0,1304.5,323.92,27.8
1986-05-01 00:00:00,8239.0,1304.5,323.92,27.9
1986-06-01 00:00:00,8239.0,260.3,327.38,27.9
1986-07-01 00:00:00,8239.0,1304.5,323.92,28.0
1986-08-01 00:00:00,8239.0,1304.5,323.92,28.2
1986-09-01 00:00:00,8239.0,329.0,327.38,28.3
1986-10-01 00:00:00,8239.0,1304.5,323.92,28.4
1986-11-01 00:00:00,8239.0,1304.5,323.92,28.5
1986-12-01 00:00:00,8239.0,331.6,327.38,28.5
1987-01-01 00:00:00,8239.0,1304.5,323.92,28.6
1987-02-01 00:00:00,8239.0,1304.5,323.92,28.6
1987-03-01 00:00:00,8239.0,278.7,327.38,28.8
1987-04-01 00:00:00,8239.0,1304.5,323.92,28.9
1987-05-01 00:00:00,8239.0,1304.5,323.92,29.0
1987-06-01 00:00:00,8239.0,373.6,327.38,29.2
1987-07-01 00:00:00,8239.0,1304.5,323.92,29.4
1987-08-01 00:00:00,8239.0,1304.5,323.92,29.6
1987-09-01 00:00:00,8239.0,339.4,327.38,29.9
1987-10-01 00:00:00,8239.0,1304.5,323.92,30.3
1987-11-01 00:00:00,8239.0,1304.5,323.92,30.5
1987-12-01 00:00:00,8239.0,404.1,327.38,30.6
1988-01-01 00:00:00,8239.0,1304.5,323.92,30.8
1988-02-01 00:00:00,8239.0,1304.5,323.92,30.8
1988-03-01 00:00:00,8239.0,339.5,327.38,30.9
1988-04-01 00:00:00,8239.0,1304.5,323.92,30.9
1988-05-01 00:00:00,8239.0,1304.5,323.92,31.0
1988-06-01 00:00:00,8239.0,406.9,327.38,31.1
1988-07-01 00:00:00,8239.0,1304.5,323.92,31.8
1988-08-01 00:00:00,8239.0,1304.5,323.92,32.5
1988-09-01 00:00:00,8239.0,344.1,327.38,33.0
1988-10-01 00:00:00,8239.0,1304.5,323.92,33.0
1988-11-01 00:00:00,8239.0,1304.5,323.92,33.0
1988-12-01 00:00:00,8239.0,386.7,327.38,33.0
1989-01-01 00:00:00,8239.0,1304.5,323.92,33.1
1989-02-01 00:00:00,8239.0,1304.5,323.92,33.1
1989-03-01 00:00:00,8239.0,358.1,327.38,33.4
1989-04-01 00:00:00,8239.0,1304.5,323.92,34.0
1989-05-01 00:00:00,8239.0,1304.5,323.92,34.1
1989-06-01 00:00:00,8239.0,381.0,327.38,34.3
1989-07-01 00:00:00,8239.0,1304.5,323.92,34.7
1989-08-01 00:00:00,8239.0,1304.5,323.92,36.3
1989-09-01 00:00:00,8239.0,343.7,327.38,39.5
1989-10-01 00:00:00,8239.0,1304.5,323.92,40.0
1989-11-01 00:00:00,8239.0,1304.5,323.92,40.0
1989-12-01 00:00:00,8239.0,464.3,327.38,40.0
1990-01-01 00:00:00,8239.0,1304.5,323.92,40.0
1990-02-01 00:00:00,8239.0,1304.5,323.92,40.0
1990-03-01 00:00:00,8239.0,430.5,327.38,40.0
1990-04-01 00:00:00,8239.0,1304.5,323.92,40.0
1990-05-01 00:00:00,8239.0,1304.5,323.92,40.0
1990-06-01 00:00:00,8239.0,437.8,327.38,40.0
1990-07-01 00:00:00,8239.0,1304.5,323.92,40.0
1990-08-01 00:00:00,8239.0,1304.5,323.92,40.0
1990-09-01 00:00:00,8239.0,548.4,327.38,39.9
1990-10-01 00:00:00,8239.0,1304.5,323.92,40.3
1990-11-01 00:00:00,8239.0,1304.5,323.92,40.3
1990-12-01 00:00:00,8239.0,567.2,327.38,40.2
1991-01-01 00:00:00,8239.0,1304.5,323.92,40.3
1991-02-01 00:00:00,8239.0,1304.5,323.92,40.6
1991-03-01 00:00:00,8239.0,507.5,327.38,40.7
1991-04-01 00:00:00,8239.0,1304.5,323.92,40.8
1991-05-01 00:00:00,8239.0,1304.5,323.92,41.0
1991-06-01 00:00:00,8239.0,487.7,327.38,41.2
1991-07-01 00:00:00,8239.0,1304.5,323.92,41.2
1991-08-01 00:00:00,8239.0,1304.5,323.92,41.7
1991-09-01 00:00:00,8239.0,531.1,327.38,41.9
1991-10-01 00:00:00,8239.0,1304.5,323.92,42.2
1991-11-01 00:00:00,8239.0,1304.5,323.92,42.4
1991-12-01 00:00:00,8239.0,513.1,327.38,42.5
1992-01-01 00:00:00,8239.0,1304.5,323.92,42.6
1992-02-01 00:00:00,8239.0,1304.5,323.92,42.8
