t,petroleum-petrol-sales-monthly,electricity-power-consumption-monthly,electricity-per-capita-electricity-consumption-monthly,public-sector-wage-rate-index-(2012=100)(nominal)-monthly,electricity-power-generation-monthly
1998-01-01 00:00:00,16960.0,360.0,19.0,71.4,464.0
1998-02-01 00:00:00,14920.0,369.0,20.0,71.4,423.0
1998-03-01 00:00:00,17000.0,357.0,19.0,71.4,477.0
1998-04-01 00:00:00,18007.0,364.0,19.0,71.4,445.0
1998-05-01 00:00:00,17223.0,379.0,20.0,71.4,481.0
1998-06-01 00:00:00,17118.0,388.0,21.0,71.4,2290.0
1998-07-01 00:00:00,17002.0,363.0,19.0,71.4,481.0
1998-08-01 00:00:00,16891.0,386.0,21.0,71.4,488.0
1998-09-01 00:00:00,17135.0,389.0,21.0,71.4,486.0
1998-10-01 00:00:00,17589.0,391.0,21.0,71.4,496.0
1998-11-01 00:00:00,16264.0,412.0,22.0,71.4,479.0
1998-12-01 00:00:00,18215.0,364.0,19.0,71.4,487.0
1999-01-01 00:00:00,16796.0,385.0,20.0,71.4,487.0
1999-02-01 00:00:00,16116.0,390.0,20.0,71.4,457.0
1999-03-01 00:00:00,18158.0,375.0,20.0,71.4,520.0
1999-04-01 00:00:00,18411.0,388.0,20.0,71.4,471.0
1999-05-01 00:00:00,17878.0,397.0,21.0,71.4,517.0
1999-06-01 00:00:00,17480.0,403.0,21.0,71.4,508.0
1999-07-01 00:00:00,18816.0,397.0,21.0,71.4,534.0
1999-08-01 00:00:00,17783.0,413.0,22.0,71.4,536.0
1999-09-01 00:00:00,17933.0,423.0,22.0,71.4,532.0
1999-10-01 00:00:00,17433.0,405.0,21.0,71.4,541.0
1999-11-01 00:00:00,17592.0,421.0,22.0,71.4,536.0
1999-12-01 00:00:00,18678.0,412.0,22.0,71.4,544.0
2000-01-01 00:00:00,17781.0,423.0,22.0,71.4,553.0
2000-02-01 00:00:00,17476.0,406.0,21.0,71.4,540.0
2000-03-01 00:00:00,19133.0,424.0,22.0,71.4,596.0
2000-04-01 00:00:00,19458.0,429.0,22.0,71.4,535.0
2000-05-01 00:00:00,18987.0,433.0,23.0,71.4,585.0
2000-06-01 00:00:00,18753.0,421.0,22.0,71.4,547.0
2000-07-01 00:00:00,18478.0,427.0,22.0,71.4,571.0
2000-08-01 00:00:00,18749.0,450.0,24.0,71.4,568.0
2000-09-01 00:00:00,19008.0,451.0,24.0,71.4,562.0
2000-10-01 00:00:00,18485.0,443.0,23.0,71.4,580.0
2000-11-01 00:00:00,18236.0,474.0,25.0,71.4,585.0
2000-12-01 00:00:00,19828.0,477.0,25.0,71.4,592.0
2001-01-01 00:00:00,20411.0,463.0,25.0,71.4,597.0
2001-02-01 00:00:00,18511.0,443.0,24.0,71.4,524.0
2001-03-01 00:00:00,21676.0,429.0,23.0,71.4,602.0
2001-04-01 00:00:00,21032.0,439.0,23.0,71.4,546.0
2001-05-01 00:00:00,21486.0,445.0,24.0,71.4,599.0
2001-06-01 00:00:00,21317.0,457.0,24.0,71.4,583.0
2001-07-01 00:00:00,20866.0,425.0,23.0,71.4,532.0
2001-08-01 00:00:00,21374.0,430.0,23.0,71.4,536.0
2001-09-01 00:00:00,20099.0,406.0,22.0,71.4,454.0
2001-10-01 00:00:00,21367.0,393.0,21.0,71.4,517.0
2001-11-01 00:00:00,20557.0,469.0,25.0,71.4,571.0
2001-12-01 00:00:00,20810.0,459.0,24.0,71.4,565.0
2002-01-01 00:00:00,22873.0,450.0,24.0,71.4,552.0
2002-02-01 00:00:00,20834.0,424.0,22.0,71.4,483.0
2002-03-01 00:00:00,23988.0,373.0,20.0,71.4,524.0
2002-04-01 00:00:00,24675.0,394.0,21.0,71.4,513.0
2002-05-01 00:00:00,23567.0,455.0,24.0,71.4,618.0
2002-06-01 00:00:00,23064.0,468.0,25.0,71.4,601.0
2002-07-01 00:00:00,24333.0,477.0,25.0,71.4,616.0
2002-08-01 00:00:00,24922.0,497.0,26.0,71.4,616.0
2002-09-01 00:00:00,23798.0,494.0,26.0,71.4,607.0
2002-10-01 00:00:00,24596.0,485.0,26.0,71.4,609.0
2002-11-01 00:00:00,24167.0,494.0,26.0,71.4,576.0
2002-12-01 00:00:00,25285.0,493.0,26.0,71.4,612.0
2003-01-01 00:00:00,26397.0,492.0,26.0,71.4,616.0
2003-02-01 00:00:00,23202.0,507.0,26.0,71.4,577.0
2003-03-01 00:00:00,21897.0,495.0,26.0,71.4,645.0
2003-04-01 00:00:00,27640.0,511.0,27.0,71.4,601.0
2003-05-01 00:00:00,27697.0,498.0,26.0,71.4,637.0
2003-06-01 00:00:00,38282.0,528.0,28.0,71.4,627.0
2003-07-01 00:00:00,44605.0,506.0,26.0,71.4,655.0
2003-08-01 00:00:00,34393.0,527.0,27.0,71.4,651.0
2003-09-01 00:00:00,34867.0,534.0,28.0,71.4,640.0
2003-10-01 00:00:00,36795.0,531.0,28.0,71.4,660.0
2003-11-01 00:00:00,34596.0,535.0,28.0,71.4,638.0
2003-12-01 00:00:00,32483.0,542.0,28.0,71.4,668.0
2004-01-01 00:00:00,33282.0,561.0,29.0,71.4,675.0
2004-02-01 00:00:00,29274.0,542.0,28.0,71.4,643.0
2004-03-01 00:00:00,43164.0,531.0,27.0,71.4,706.0
2004-04-01 00:00:00,33310.0,536.0,28.0,71.4,642.0
2004-05-01 00:00:00,33479.0,538.0,28.0,71.4,693.0
2004-06-01 00:00:00,33932.0,554.0,29.0,71.4,682.0
2004-07-01 00:00:00,35555.0,565.0,29.0,71.4,695.0
2004-08-01 00:00:00,33739.0,572.0,29.0,71.4,702.0
2004-09-01 00:00:00,40039.0,576.0,30.0,71.4,668.0
2004-10-01 00:00:00,32840.0,560.0,29.0,71.4,692.0
2004-11-01 00:00:00,32863.0,574.0,30.0,71.4,674.0
2004-12-01 00:00:00,35768.0,578.0,30.0,71.4,685.0
2005-01-01 00:00:00,33915.0,561.0,29.0,71.4,693.0
2005-02-01 00:00:00,32714.0,582.0,30.0,71.4,643.0
2005-03-01 00:00:00,39103.0,576.0,29.0,71.4,744.0
2005-04-01 00:00:00,38817.0,587.0,30.0,71.4,680.0
2005-05-01 00:00:00,38363.0,610.0,31.0,71.4,746.0
2005-06-01 00:00:00,55111.0,596.0,30.0,71.4,732.0
2005-07-01 00:00:00,36526.0,602.0,31.0,71.4,745.0
2005-08-01 00:00:00,38394.0,631.0,32.0,71.4,768.0
2005-09-01 00:00:00,37006.0,633.0,32.0,71.4,748.0
2005-10-01 00:00:00,37201.0,620.0,32.0,71.4,765.0
2005-11-01 00:00:00,34770.0,630.0,32.0,71.4,717.0
2005-12-01 00:00:00,39803.0,616.0,31.0,71.4,771.0
2006-01-01 00:00:00,38237.0,629.0,32.0,71.4,768.0
2006-02-01 00:00:00,36198.0,632.0,32.0,71.4,716.0
2006-03-01 00:00:00,41334.0,638.0,32.0,71.4,809.0
2006-04-01 00:00:00,41342.0,645.0,32.0,71.4,757.0
2006-05-01 00:00:00,41489.0,668.0,34.0,71.4,814.0
2006-06-01 00:00:00,38485.0,669.0,34.0,71.4,788.0
2006-07-01 00:00:00,42602.0,645.0,33.0,73.1,805.0
2006-08-01 00:00:00,39986.0,676.0,34.0,73.1,799.0
2006-09-01 00:00:00,37193.0,666.0,34.0,73.1,781.0
2006-10-01 00:00:00,39229.0,659.0,33.0,73.1,786.0
2006-11-01 00:00:00,38708.0,644.0,32.0,73.1,768.0
2006-12-01 00:00:00,40245.0,654.0,33.0,73.1,797.0
2007-01-01 00:00:00,43392.0,660.0,33.0,74.8,799.0
2007-02-01 00:00:00,38805.0,661.0,33.0,74.8,734.0
2007-03-01 00:00:00,46020.0,655.0,33.0,74.8,849.0
2007-04-01 00:00:00,42412.0,665.0,33.0,74.8,757.0
2007-05-01 00:00:00,44322.0,695.0,35.0,74.8,843.0
2007-06-01 00:00:00,43365.0,700.0,35.0,74.8,812.0
2007-07-01 00:00:00,43699.0,693.0,35.0,76.5,848.0
2007-08-01 00:00:00,43838.0,716.0,36.0,76.5,850.0
2007-09-01 00:00:00,41462.0,710.0,35.0,76.5,817.0
2007-10-01 00:00:00,43864.0,721.0,36.0,76.5,850.0
2007-11-01 00:00:00,42370.0,702.0,35.0,76.5,820.0
2007-12-01 00:00:00,43876.0,699.0,35.0,76.5,837.0
2008-01-01 00:00:00,43810.0,711.0,35.0,78.2,844.0
2008-02-01 00:00:00,40581.0,712.0,35.0,78.2,796.0
2008-03-01 00:00:00,44653.0,700.0,35.0,78.2,850.0
2008-04-01 00:00:00,46820.0,728.0,36.0,78.2,793.0
2008-05-01 00:00:00,47078.0,713.0,35.0,78.2,865.0
2008-06-01 00:00:00,39542.0,712.0,35.0,78.2,817.0
2008-07-01 00:00:00,42537.0,693.0,34.0,82.6,838.0
2008-08-01 00:00:00,41631.0,692.0,34.0,82.6,834.0
2008-09-01 00:00:00,42218.0,712.0,35.0,82.6,828.0
2008-10-01 00:00:00,43179.0,704.0,35.0,82.6,824.0
2008-11-01 00:00:00,40820.0,700.0,35.0,82.6,794.0
