t,electricity-per-capita-electricity-consumption-monthly,electricity-power-consumption-monthly,petroleum-petrol-sales-monthly,electricity-power-generation-monthly,public-sector-wage-rate-index-(2012=100)(nominal)-monthly
1998-01-01 00:00:00,19.0,360.0,16960.0,464.0,71.4
1998-02-01 00:00:00,20.0,369.0,14920.0,423.0,71.4
1998-03-01 00:00:00,19.0,357.0,17000.0,477.0,71.4
1998-04-01 00:00:00,19.0,364.0,18007.0,445.0,71.4
1998-05-01 00:00:00,20.0,379.0,17223.0,481.0,71.4
1998-06-01 00:00:00,21.0,388.0,17118.0,2290.0,71.4
1998-07-01 00:00:00,19.0,363.0,17002.0,481.0,71.4
1998-08-01 00:00:00,21.0,386.0,16891.0,488.0,71.4
1998-09-01 00:00:00,21.0,389.0,17135.0,486.0,71.4
1998-10-01 00:00:00,21.0,391.0,17589.0,496.0,71.4
1998-11-01 00:00:00,22.0,412.0,16264.0,479.0,71.4
1998-12-01 00:00:00,19.0,364.0,18215.0,487.0,71.4
1999-01-01 00:00:00,20.0,385.0,16796.0,487.0,71.4
1999-02-01 00:00:00,20.0,390.0,16116.0,457.0,71.4
1999-03-01 00:00:00,20.0,375.0,18158.0,520.0,71.4
1999-04-01 00:00:00,20.0,388.0,18411.0,471.0,71.4
1999-05-01 00:00:00,21.0,397.0,17878.0,517.0,71.4
1999-06-01 00:00:00,21.0,403.0,17480.0,508.0,71.4
1999-07-01 00:00:00,21.0,397.0,18816.0,534.0,71.4
1999-08-01 00:00:00,22.0,413.0,17783.0,536.0,71.4
1999-09-01 00:00:00,22.0,423.0,17933.0,532.0,71.4
1999-10-01 00:00:00,21.0,405.0,17433.0,541.0,71.4
1999-11-01 00:00:00,22.0,421.0,17592.0,536.0,71.4
1999-12-01 00:00:00,22.0,412.0,18678.0,544.0,71.4
2000-01-01 00:00:00,22.0,423.0,17781.0,553.0,71.4
2000-02-01 00:00:00,21.0,406.0,17476.0,540.0,71.4
2000-03-01 00:00:00,22.0,424.0,19133.0,596.0,71.4
2000-04-01 00:00:00,22.0,429.0,19458.0,535.0,71.4
2000-05-01 00:00:00,23.0,433.0,18987.0,585.0,71.4
2000-06-01 00:00:00,22.0,421.0,18753.0,547.0,71.4
2000-07-01 00:00:00,22.0,427.0,18478.0,571.0,71.4
2000-08-01 00:00:00,24.0,450.0,18749.0,568.0,71.4
2000-09-01 00:00:00,24.0,451.0,19008.0,562.0,71.4
2000-10-01 00:00:00,23.0,443.0,18485.0,580.0,71.4
2000-11-01 00:00:00,25.0,474.0,18236.0,585.0,71.4
2000-12-01 00:00:00,25.0,477.0,19828.0,592.0,71.4
2001-01-01 00:00:00,25.0,463.0,20411.0,597.0,71.4
2001-02-01 00:00:00,24.0,443.0,18511.0,524.0,71.4
2001-03-01 00:00:00,23.0,429.0,21676.0,602.0,71.4
2001-04-01 00:00:00,23.0,439.0,21032.0,546.0,71.4
2001-05-01 00:00:00,24.0,445.0,21486.0,599.0,71.4
2001-06-01 00:00:00,24.0,457.0,21317.0,583.0,71.4
2001-07-01 00:00:00,23.0,425.0,20866.0,532.0,71.4
2001-08-01 00:00:00,23.0,430.0,21374.0,536.0,71.4
2001-09-01 00:00:00,22.0,406.0,20099.0,454.0,71.4
2001-10-01 00:00:00,21.0,393.0,21367.0,517.0,71.4
