t,electricity-per-capita-electricity-consumption-monthly,electricity-power-consumption-monthly,petroleum-petrol-sales-monthly,merchandise-exports-total-quarterly,electricity-power-generation-monthly,public-sector-wage-rate-index-(2012=100)(nominal)-monthly,merchandise-imports-total-quarterly
1986-03-01 00:00:00,51.19,1215.86,43978.0,288.8,1291.07,178.5,485.5
1986-06-01 00:00:00,51.19,1215.86,43978.0,260.3,1291.07,178.5,467.2
1986-09-01 00:00:00,51.19,1215.86,43978.0,329.0,1291.07,178.5,474.2
1986-12-01 00:00:00,51.19,1215.86,43978.0,331.6,1291.07,178.5,546.3
1987-03-01 00:00:00,51.19,1215.86,43978.0,278.7,1291.07,178.5,484.3
1987-06-01 00:00:00,51.19,1215.86,43978.0,373.6,1291.07,178.5,522.1
1987-09-01 00:00:00,51.19,1215.86,43978.0,339.4,1291.07,178.5,507.3
1987-12-01 00:00:00,51.19,1215.86,43978.0,404.1,1291.07,178.5,561.3
1988-03-01 00:00:00,51.19,1215.86,43978.0,339.5,1291.07,178.5,542.2
1988-06-01 00:00:00,51.19,1215.86,43978.0,406.9,1291.07,178.5,563.2
1988-09-01 00:00:00,51.19,1215.86,43978.0,344.1,1291.07,178.5,563.9
1988-12-01 00:00:00,51.19,1215.86,43978.0,386.7,1291.07,178.5,570.9
1989-03-01 00:00:00,51.19,1215.86,43978.0,358.1,1291.07,178.5,547.7
1989-06-01 00:00:00,51.19,1215.86,43978.0,381.0,1291.07,178.5,605.4
1989-09-01 00:00:00,51.19,1215.86,43978.0,343.7,1291.07,178.5,419.8
1989-12-01 00:00:00,51.19,1215.86,43978.0,464.3,1291.07,178.5,653.6
1990-03-01 00:00:00,51.19,1215.86,43978.0,430.5,1291.07,178.5,628.4
1990-06-01 00:00:00,51.19,1215.86,43978.0,437.8,1291.07,178.5,565.2
1990-09-01 00:00:00,51.19,1215.86,43978.0,548.4,1291.07,178.5,699.9
1990-12-01 00:00:00,51.19,1215.86,43978.0,567.2,1291.07,178.5,792.9
1991-03-01 00:00:00,51.19,1215.86,43978.0,507.5,1291.07,178.5,672.3
1991-06-01 00:00:00,51.19,1215.86,43978.0,487.7,1291.07,178.5,705.3
1991-09-01 00:00:00,51.19,1215.86,43978.0,531.1,1291.07,178.5,749.0
1991-12-01 00:00:00,51.19,1215.86,43978.0,513.1,1291.07,178.5,910.0
1992-03-01 00:00:00,51.19,1215.86,43978.0,583.9,1291.07,178.5,786.7
1992-06-01 00:00:00,51.19,1215.86,43978.0,490.5,1291.07,178.5,870.1
1992-09-01 00:00:00,51.19,1215.86,43978.0,576.5,1291.07,178.5,909.8
1992-12-01 00:00:00,51.19,1215.86,43978.0,810.0,1291.07,178.5,938.7
1993-03-01 00:00:00,51.19,1215.86,43978.0,640.5,1291.07,178.5,939.8
1993-06-01 00:00:00,51.19,1215.86,43978.0,667.1,1291.07,178.5,1099.4
1993-09-01 00:00:00,51.19,1215.86,43978.0,744.2,1291.07,178.5,957.6
1993-12-01 00:00:00,51.19,1215.86,43978.0,811.8,1291.07,178.5,1014.6
1994-03-01 00:00:00,51.19,1215.86,43978.0,655.7,1291.07,178.5,947.7
1994-06-01 00:00:00,51.19,1215.86,43978.0,758.8,1291.07,178.5,1191.5
1994-09-01 00:00:00,51.19,1215.86,43978.0,882.5,1291.07,178.5,1288.0
1994-12-01 00:00:00,51.19,1215.86,43978.0,911.6,1291.07,178.5,1340.1
1995-03-01 00:00:00,51.19,1215.86,43978.0,828.0,1291.07,178.5,1258.2
1995-06-01 00:00:00,51.19,1215.86,43978.0,923.8,1291.07,178.5,1360.8
1995-09-01 00:00:00,51.19,1215.86,43978.0,983.8,1291.07,178.5,1294.0
1995-12-01 00:00:00,51.19,1215.86,43978.0,1071.0,1291.07,178.5,1398.1
1996-03-01 00:00:00,51.19,1215.86,43978.0,907.5,1291.07,178.5,1220.5
1996-06-01 00:00:00,51.19,1215.86,43978.0,911.6,1291.07,178.5,1293.3
1996-09-01 00:00:00,51.19,1215.86,43978.0,1099.7,1291.07,178.5,1364.6
1996-12-01 00:00:00,51.19,1215.86,43978.0,1176.3,1291.07,178.5,1560.4
1997-03-01 00:00:00,51.19,1215.86,43978.0,1013.1,1291.07,178.5,1471.8
1997-06-01 00:00:00,51.19,1215.86,43978.0,1036.7,1291.07,178.5,1461.7
1997-09-01 00:00:00,51.19,1215.86,43978.0,1284.7,1291.07,178.5,1417.1
1997-12-01 00:00:00,51.19,1215.86,43978.0,1304.5,1291.07,178.5,1513.3
1998-01-01 00:00:00,19.0,360.0,16960.0,1116.2,464.0,71.4,1559.9
1998-02-01 00:00:00,20.0,369.0,14920.0,1116.2,423.0,71.4,1559.9
1998-03-01 00:00:00,19.0,357.0,17000.0,1116.2,477.0,71.4,1559.9
1998-04-01 00:00:00,19.0,364.0,18007.0,1116.2,445.0,71.4,1559.9
1998-05-01 00:00:00,20.0,379.0,17223.0,1116.2,481.0,71.4,1559.9
1998-06-01 00:00:00,21.0,388.0,17118.0,1136.1,2290.0,71.4,1442.7
1998-07-01 00:00:00,19.0,363.0,17002.0,1136.1,481.0,71.4,1442.7
1998-08-01 00:00:00,21.0,386.0,16891.0,1136.1,488.0,71.4,1442.7
1998-09-01 00:00:00,21.0,389.0,17135.0,1317.8,486.0,71.4,1422.4
1998-10-01 00:00:00,21.0,391.0,17589.0,1317.8,496.0,71.4,1422.4
1998-11-01 00:00:00,22.0,412.0,16264.0,1317.8,479.0,71.4,1422.4
1998-12-01 00:00:00,19.0,364.0,18215.0,1227.8,487.0,71.4,1464.6
1999-01-01 00:00:00,20.0,385.0,16796.0,1227.8,487.0,71.4,1464.6
1999-02-01 00:00:00,20.0,390.0,16116.0,1227.8,457.0,71.4,1464.6
1999-03-01 00:00:00,20.0,375.0,18158.0,1008.3,520.0,71.4,1277.2
1999-04-01 00:00:00,20.0,388.0,18411.0,1008.3,471.0,71.4,1277.2
1999-05-01 00:00:00,21.0,397.0,17878.0,1008.3,517.0,71.4,1277.2
1999-06-01 00:00:00,21.0,403.0,17480.0,1052.5,508.0,71.4,1360.5
1999-07-01 00:00:00,21.0,397.0,18816.0,1052.5,534.0,71.4,1360.5
1999-08-01 00:00:00,22.0,413.0,17783.0,1052.5,536.0,71.4,1360.5
1999-09-01 00:00:00,22.0,423.0,17933.0,1278.4,532.0,71.4,1460.8
